"CT County Subdivisions,Year",Year,Town,Total crime Rate,"Crime, Total crime, Number","Total estimated population, Number"
"9,005,534,702,009",2009,Norfolk,821.6,14,1704
"9,007,222,802,005",2005,East Haddam,,,8730
"9,013,782,502,003",2003,Vernon,2454.4,697,28398
"9,003,084,901,998",1998,Bristol,2740.5,1646,60062
"9,003,020,602,007",2007,Avon,1108.05,193,17418
"9,015,610,302,000",2000,Pomfret,605.58,23,3798
"9,009,548,702,008",2008,North Haven,2633.89,629,23881
"9,007,224,902,005",2005,East Hampton,,,13156
"9,011,555,002,008",2008,North Stonington,1107.72,58,5236
"9,015,360,001,999",1999,Hampton,341.3,6,1758
"9,001,560,602,008",2008,Norwalk,2774.09,2360,85073
"9,005,540,302,009",2009,North Canaan,1054.53,35,3319
"9,007,143,002,000",2000,Chester,1309.11,49,3743
"9,001,089,801,998",1998,Brookfield,1174.67,184,15664
"9,009,538,902,009",2009,North Branford,1755.24,252,14357
"9,003,226,302,005",2005,East Hartford,,,50414
"9,009,032,502,007",2007,Beacon Falls,1084.71,63,5808
"9,011,068,201,999",1999,Bozrah,1951.63,46,2357
"9,015,091,901,998",1998,Brooklyn,1352.29,97,7173
"9,009,548,702,009",2009,North Haven,2251.22,540,23987
"9,009,229,102,005",2005,East Haven,,,28723
"9,011,562,702,008",2008,Norwich,2824.47,1119,39618
"9,009,356,501,999",1999,Hamden,3329.64,1895,56913
"9,011,562,702,000",2000,Norwich,3391.75,1225,36117
"9,011,570,402,008",2008,Old Lyme,819.67,62,7564
"9,011,555,002,009",2009,North Stonington,1310.29,69,5266
"9,003,101,001,998",1998,Burlington,647.13,53,8190
"9,003,043,002,007",2007,Berlin,2276.6,441,19371
"9,001,560,602,009",2009,Norwalk,2603.76,2222,85338
"9,003,447,002,003",2003,Manchester,5413.16,3020,55790
"9,011,234,002,005",2005,East Lyme,,,18639
"9,009,045,802,007",2007,Bethany,610.43,33,5406
"9,007,573,202,008",2008,Old Saybrook,2152.53,221,10267
"9,005,027,602,007",2007,Barkhamsted,620.28,23,3708
"9,003,248,002,005",2005,East Windsor,,,10490
"9,005,109,401,998",1998,Canaan,1295.1,14,1081
"9,011,562,702,009",2009,Norwich,3100.74,1242,40055
"9,001,047,202,007",2007,Bethel,645.72,119,18429
"9,009,576,002,008",2008,Orange,3461.01,478,13811
"9,009,828,702,000",2000,West Haven,3682.2,1928,52360
"9,011,570,402,009",2009,Old Lyme,646.18,49,7583
"9,015,121,301,998",1998,Canterbury,937.77,44,4692
"9,015,218,602,005",2005,Eastford,,,1684
"9,005,049,302,007",2007,Bethlehem,563.06,20,3552
"9,003,713,902,003",2003,South Windsor,1717.67,426,24801
"9,007,352,301,999",1999,Haddam,936.15,67,7157
"9,001,238,902,005",2005,Easton,,,7381
"9,001,634,802,000",2000,Redding,580.41,48,8270
"9,009,583,002,008",2008,Oxford,900.01,109,12111
"9,003,122,701,998",1998,Canton,1561.09,138,8840
"9,015,599,802,008",2008,Plainfield,950.94,145,15248
"9,007,573,202,009",2009,Old Saybrook,2281.81,234,10255
"9,013,253,602,005",2005,Ellington,,,14262
"9,003,059,102,007",2007,Bloomfield,3319.15,671,20216
"9,013,778,302,003",2003,Union,2024.29,15,741
"9,009,576,002,009",2009,Orange,3291.56,457,13884
"9,009,800,702,003",2003,Waterbury,7357.67,7961,108200
"9,013,062,602,007",2007,Bolton,500.9,25,4991
"9,015,138,101,998",1998,Chaplin,2488.89,56,2250
"9,003,259,902,005",2005,Enfield,,,44933
"9,003,601,202,008",2008,Plainville,3707.9,654,17638
"9,011,068,202,007",2007,Bozrah,1374.71,35,2546
"9,005,607,502,008",2008,Plymouth,2541.04,308,12121
"9,009,583,002,009",2009,Oxford,742.12,92,12397
"9,009,141,601,998",1998,Cheshire,1345.34,384,28543
"9,015,599,802,009",2009,Plainfield,730.78,112,15326
"9,007,262,702,005",2005,Essex,,,6594
"9,009,073,102,007",2007,Branford,2887.72,815,28223
"9,013,778,302,002",2002,Union,551.72,4,725
"9,001,266,202,005",2005,Fairfield,,,58372
"9,007,143,001,998",1998,Chester,1122.09,42,3743
"9,015,610,302,008",2008,Pomfret,264.61,11,4157
"9,003,020,601,999",1999,Avon,1345.38,213,15832
"9,001,080,702,007",2007,Bridgeport,5713.53,8160,142819
"9,007,618,002,008",2008,Portland,1047.79,98,9353
"9,003,601,202,009",2009,Plainville,3835.49,678,17677
"9,005,607,502,009",2009,Plymouth,1592.51,194,12182
"9,003,312,402,001",2001,Glastonbury,1300.92,418,32131
"9,005,372,802,000",2000,Harwinton,757.15,40,5283
"9,009,356,502,003",2003,Hamden,2618.4,1522,58127
"9,003,276,002,005",2005,Farmington,,,24491
"9,003,371,402,010",2010,Hartland,567.64,12,2114
"9,011,786,002,000",2000,Voluntown,1226.27,31,2528
"9,005,804,901,999",1999,Watertown,1740.46,377,21661
"9,011,299,102,001",2001,Franklin,1898.05,35,1844
"9,003,122,702,002",2002,Canton,1445.78,132,9130
"9,011,299,102,005",2005,Franklin,,,1879
"9,005,322,901,999",1999,Goshen,1149.43,31,2697
"9,011,802,801,999",1999,Waterford,3404.34,652,19152
"9,003,312,402,003",2003,Glastonbury,1464.42,478,32641
"9,007,470,801,999",1999,Middlefield,1189.63,50,4203
"9,001,683,102,002",2002,Sherman,529.38,20,3778
"9,003,371,402,000",2000,Hartland,795.23,16,2012
"9,005,372,802,010",2010,Harwinton,602.62,34,5642
"9,003,276,002,001",2001,Farmington,3208.6,764,23811
"9,005,322,902,005",2005,Goshen,,,2837
"9,015,121,302,002",2002,Canterbury,1025.1,49,4780
"9,009,800,701,999",1999,Waterbury,5928.91,6360,107271
"9,007,352,302,003",2003,Haddam,652.12,49,7514
"9,009,469,401,999",1999,Middlebury,1333.13,86,6451
"9,013,379,102,010",2010,Hebron,805.29,78,9686
"9,015,218,601,999",1999,Eastford,803.46,13,1618
"9,003,326,402,005",2005,Granby,,,10815
"9,005,109,402,002",2002,Canaan,1528.78,17,1112
"9,001,266,202,001",2001,Fairfield,2222.57,1279,57546
"9,005,797,201,999",1999,Washington,1112.35,40,3596
"9,003,312,402,005",2005,Glastonbury,,,33152
"9,015,405,002,010",2010,Killingly,1237.77,215,17370
"9,005,402,902,010",2010,Kent,939.91,28,2979
"9,001,336,202,005",2005,Greenwich,,,61136
"9,001,681,702,002",2002,Shelton,1148.65,441,38393
"9,005,795,101,999",1999,Warren,717.7,9,1254
"9,003,101,002,002",2002,Burlington,939.13,79,8412
"9,015,674,002,000",2000,Scotland,835.48,13,1556
"9,013,782,502,000",2000,Vernon,3178.56,892,28063
"9,007,262,702,001",2001,Essex,965.81,63,6523
"9,009,465,201,999",1999,Meriden,3778.93,2201,58244
"9,009,787,401,999",1999,Wallingford,2159.16,929,43026
"9,011,339,002,005",2005,Griswold,,,11379
"9,011,342,502,005",2005,Groton,,,40011
"9,003,259,902,001",2001,Enfield,2081.67,940,45156
"9,007,407,102,010",2010,Killingworth,475.1,31,6525
"9,009,349,502,005",2005,Guilford,,,21887
"9,009,349,502,003",2003,Guilford,1996.22,433,21691
"9,011,786,001,999",1999,Voluntown,1186.71,30,2528
"9,011,426,002,010",2010,Ledyard,1016.54,153,15051
"9,003,458,201,999",1999,Marlborough,1103.52,63,5709
"9,003,370,702,000",2000,Hartford,9228.64,11220,121578
"9,003,248,001,999",1999,East Windsor,3198.21,314,9818
"9,013,253,602,001",2001,Ellington,712.72,94,13189
"9,013,782,501,999",1999,Vernon,2601.29,730,28063
"9,007,352,302,005",2005,Haddam,,,7752
"9,001,238,902,001",2001,Easton,520.98,38,7294
"9,015,091,902,002",2002,Brooklyn,1273.71,94,7380
"9,001,089,802,002",2002,Brookfield,1390.47,220,15822
"9,011,432,302,010",2010,Lisbon,2443.52,106,4338
"9,011,423,902,010",2010,Lebanon,875.75,64,7308
"9,009,356,502,005",2005,Hamden,,,58937
"9,003,705,502,000",2000,Southington,2079.14,826,39728
"9,015,218,602,001",2001,Eastford,1103.62,18,1631
"9,013,778,301,999",1999,Union,2308.8,16,693
"9,005,433,702,010",2010,Litchfield,992.2,84,8466
"9,011,159,102,000",2000,Colchester,1305.75,190,14551
"9,005,679,602,002",2002,Sharon,580.01,17,2931
"9,013,449,101,999",1999,Mansfield,1283.78,266,20720
"9,015,360,002,005",2005,Hampton,,,1811
"9,003,084,902,002",2002,Bristol,2893.01,1740,60145
"9,011,342,502,003",2003,Groton,2299.28,919,39969
"9,003,248,002,001",2001,East Windsor,4210.21,419,9952
"9,011,442,102,010",2010,Lyme,623.44,15,2406
"9,001,772,001,999",1999,Trumbull,3641.62,1247,34243
"9,003,370,702,005",2005,Hartford,,,123177
"9,013,778,302,000",2000,Union,865.8,6,693
"9,011,234,002,001",2001,East Lyme,1355.5,247,18222
"9,009,445,602,010",2010,Madison,1258.96,230,18269
"9,011,339,002,003",2003,Griswold,860.99,96,11150
"9,005,765,701,999",1999,Torrington,2207.26,777,35202
"9,003,371,402,005",2005,Hartland,,,2063
"9,005,082,102,002",2002,Bridgewater,609.42,11,1805
"9,011,299,102,003",2003,Franklin,1880.71,35,1861
"9,003,447,002,010",2010,Manchester,3396.23,1978,58241
"9,009,229,102,001",2001,East Haven,2940.34,832,28296
"9,015,360,002,000",2000,Hampton,455.06,8,1758
"9,005,372,802,005",2005,Harwinton,,,5463
"9,013,762,901,999",1999,Tolland,654.19,86,13146
"9,003,312,401,999",1999,Glastonbury,1508.97,481,31876
"9,001,080,702,002",2002,Bridgeport,6087.46,8551,140469
"9,013,379,102,005",2005,Hebron,,,9148
"9,013,449,102,010",2010,Mansfield,700.75,186,26543
"9,011,234,001,999",1999,East Lyme,1396.4,253,18118
"9,003,447,001,999",1999,Manchester,4674.83,2559,54740
"9,003,458,202,010",2010,Marlborough,1124.3,72,6404
"9,009,676,102,002",2002,Seymour,1384.72,217,15671
"9,003,226,302,001",2001,East Hartford,3781.44,1881,49743
"9,015,758,701,999",1999,Thompson,1329.13,118,8878
"9,001,683,102,000",2000,Sherman,757.77,29,3827
"9,001,683,102,003",2003,Sherman,826.01,31,3753
"9,005,402,902,005",2005,Kent,,,2919
"9,007,224,902,001",2001,East Hampton,683.54,91,13313
"9,005,757,301,999",1999,Thomaston,1546.05,116,7503
"9,009,465,202,010",2010,Meriden,3254.58,1981,60868
"9,009,073,102,002",2002,Branford,3155.65,901,28552
"9,007,222,802,001",2001,East Haddam,844.03,71,8412
"9,015,405,002,005",2005,Killingly,,,16921
"9,001,336,202,003",2003,Greenwich,1223.78,748,61122
"9,015,674,002,002",2002,Scotland,691.82,11,1590
"9,007,407,102,005",2005,Killingworth,,,6272
"9,003,745,401,999",1999,Suffield,1092.09,148,13552
"9,011,068,202,002",2002,Bozrah,1824.97,44,2411
"9,005,679,602,000",2000,Sharon,741.24,22,2968
"9,011,423,902,005",2005,Lebanon,,,7108
"9,001,772,002,000",2000,Trumbull,3159.77,1082,34243
"9,009,445,601,999",1999,Madison,1024.75,183,17858
"9,015,014,301,999",1999,Ashford,1171.3,48,4098
"9,011,299,101,999",1999,Franklin,2125.34,39,1835
"9,003,220,702,001",2001,East Granby,815.05,39,4785
"9,005,664,202,002",2002,Salisbury,1068.7,42,3930
"9,001,741,901,999",1999,Stratford,3149.51,1574,49976
"9,003,059,102,002",2002,Bloomfield,3652.55,722,19767
"9,013,062,602,002",2002,Bolton,958.08,48,5010
"9,011,737,701,999",1999,Stonington,2334.41,418,17906
"9,003,276,002,003",2003,Farmington,3304.21,798,24151
"9,007,208,102,001",2001,Durham,1133.82,76,6703
"9,007,153,502,000",2000,Clinton,1367.04,179,13094
"9,011,432,302,005",2005,Lisbon,,,4204
"9,005,049,302,002",2002,Bethlehem,954.03,33,3459
"9,009,469,402,010",2010,Middlebury,1306.93,99,7575
"9,011,426,002,005",2005,Ledyard,,,14869
"9,011,442,101,999",1999,Lyme,942.46,19,2016
"9,003,326,402,003",2003,Granby,1759.5,187,10628
"9,015,734,201,999",1999,Sterling,1193.93,37,3099
"9,001,266,202,003",2003,Fairfield,2738.14,1587,57959
"9,009,195,502,001",2001,Derby,3423.89,426,12442
"9,011,442,102,005",2005,Lyme,,,2211
"9,001,047,202,002",2002,Bethel,1012.66,184,18170
"9,009,229,101,999",1999,East Haven,2490.33,702,28189
"9,001,730,701,999",1999,Stamford,2944.92,3448,117083
"9,007,180,801,999",1999,Cromwell,2859.14,368,12871
"9,011,662,102,002",2002,Salem,1174.37,46,3917
"9,009,445,602,005",2005,Madison,,,18064
"9,009,045,802,002",2002,Bethany,641.4,33,5145
"9,007,191,302,001",2001,Deep River,1431.05,66,4612
"9,005,433,702,005",2005,Litchfield,,,8391
"9,005,433,701,999",1999,Litchfield,1262.63,105,8316
"9,013,720,901,999",1999,Stafford,1220.48,138,11307
"9,001,188,502,001",2001,Darien,1176.47,232,19720
"9,003,043,002,002",2002,Berlin,2636.83,489,18545
"9,009,012,201,999",1999,Ansonia,2290.61,425,18554
"9,005,765,702,000",2000,Torrington,2943.01,1036,35202
"9,009,032,502,002",2002,Beacon Falls,1165.16,63,5407
"9,001,185,001,999",1999,Danbury,3030.14,2268,74848
"9,009,696,402,000",2000,Southbury,1389.56,258,18567
"9,013,449,102,005",2005,Mansfield,,,23632
"9,009,356,502,000",2000,Hamden,3319.1,1889,56913
"9,011,716,701,999",1999,Sprague,1380.01,41,2971
"9,001,185,002,001",2001,Danbury,2671.86,2016,75453
"9,003,458,202,005",2005,Marlborough,,,6057
"9,005,027,602,002",2002,Barkhamsted,815.75,29,3555
"9,007,262,702,003",2003,Essex,655.69,43,6558
"9,005,659,302,002",2002,Roxbury,925.5,20,2161
"9,007,180,802,001",2001,Cromwell,2687.92,349,12984
"9,009,465,202,005",2005,Meriden,,,59556
"9,005,322,902,003",2003,Goshen,611.29,17,2781
"9,003,705,501,999",1999,Southington,2393.78,951,39728
"9,003,447,002,005",2005,Manchester,,,56491
"9,011,432,301,999",1999,Lisbon,884.74,36,4069
"9,003,020,602,002",2002,Avon,1203.56,196,16285
"9,013,010,801,999",1999,Andover,1218.71,37,3036
"9,003,276,001,999",1999,Farmington,3900,922,23641
"9,009,469,402,005",2005,Middlebury,,,7013
"9,003,259,902,003",2003,Enfield,2890.44,1302,45045
"9,013,762,902,000",2000,Tolland,578.12,76,13146
"9,007,352,302,000",2000,Haddam,1495.04,107,7157
"9,009,696,401,999",1999,Southbury,1141.81,212,18567
"9,013,178,002,001",2001,Coventry,1681.47,195,11597
"9,003,653,702,002",2002,Rocky Hill,2156.7,395,18315
"9,011,426,001,999",1999,Ledyard,1075.78,158,14687
"9,009,012,202,002",2002,Ansonia,2311.03,432,18693
"9,015,014,302,002",2002,Ashford,893.29,37,4142
"9,005,172,402,001",2001,Cornwall,3000.7,43,1433
"9,003,689,401,999",1999,Simsbury,1037.27,241,23234
"9,007,470,802,005",2005,Middlefield,,,4314
"9,001,266,201,999",1999,Fairfield,2738.05,1570,57340
"9,013,178,001,999",1999,Coventry,1329.97,153,11504
"9,003,713,901,999",1999,South Windsor,1081.44,264,24412
"9,011,423,901,999",1999,Lebanon,912.12,63,6907
"9,009,475,352,005",2005,Milford,,,52532
"9,013,010,802,002",2002,Andover,971.19,30,3089
"9,013,164,002,001",2001,Columbia,1095.18,55,5022
"9,007,407,101,999",1999,Killingworth,498.5,30,6018
"92,001",2001,Connecticut,3125.48,106967,3422418
"9,001,486,202,005",2005,Monroe,,,19363
"9,015,881,902,001",2001,Woodstock,1014.39,74,7295
"9,003,226,301,999",1999,East Hartford,3993.95,1980,49575
"9,013,692,201,999",1999,Somers,873.57,91,10417
"9,007,473,602,005",2005,Middletown,,,45408
"9,001,834,302,003",2003,Weston,912.7,92,10080
"9,003,601,201,998",1998,Plainville,3641.51,631,17328
"9,005,082,102,007",2007,Bridgewater,512.53,9,1756
"9,015,610,302,009",2009,Pomfret,594.95,25,4202
"9,009,548,701,999",1999,North Haven,2483.18,572,23035
"9,015,121,302,000",2000,Canterbury,1257.46,59,4692
"9,011,555,002,000",2000,North Stonington,1723.1,86,4991
"9,003,084,902,007",2007,Bristol,2873.1,1734,60353
"9,001,835,002,003",2003,Westport,2301.29,597,25942
"9,007,618,002,009",2009,Portland,975.61,92,9430
"9,007,470,802,000",2000,Middlefield,1617.89,68,4203
"9,005,607,501,998",1998,Plymouth,1865.22,217,11634
"9,003,849,002,003",2003,Wethersfield,2769.99,731,26390
"9,003,226,302,003",2003,East Hartford,4355.21,2181,50078
"9,001,336,202,002",2002,Greenwich,932.67,570,61115
"9,001,089,802,007",2007,Brookfield,1091.51,177,16216
"9,015,610,301,998",1998,Pomfret,710.9,27,3798
"9,009,469,402,000",2000,Middlebury,1968.69,127,6451
"9,005,540,301,999",1999,North Canaan,1462.69,49,3350
"9,015,091,902,007",2007,Brooklyn,835.55,66,7899
"9,013,859,502,003",2003,Willington,1671.12,100,5984
"9,009,622,902,009",2009,Prospect,514.19,48,9335
"9,011,621,502,009",2009,Preston,1101.23,52,4722
"9,007,618,001,998",1998,Portland,1030.69,90,8732
"9,001,639,702,002",2002,Ridgefield,541.06,129,23842
"9,009,538,901,999",1999,North Branford,970.8,135,13906
"9,009,465,202,000",2000,Meriden,3715.4,2164,58244
"9,001,772,002,002",2002,Trumbull,2696.69,933,34598
"9,003,101,002,007",2007,Burlington,914.36,82,8968
"9,001,863,702,003",2003,Wilton,838.87,149,17762
"9,015,734,202,000",2000,Sterling,903.52,28,3099
"9,011,621,501,998",1998,Preston,1322.53,62,4688
"9,015,627,102,009",2009,Putnam,524.88,50,9526
"9,005,534,701,999",1999,Norfolk,1144.58,19,1660
"9,005,109,402,007",2007,Canaan,1094.28,13,1188
"9,005,864,402,003",2003,Winchester,2842.11,308,10837
"9,003,458,202,000",2000,Marlborough,1156.07,66,5709
"9,005,765,702,002",2002,Torrington,3151.98,1117,35438
"9,015,867,902,003",2003,Windham,712.47,168,23580
"9,001,634,802,009",2009,Redding,540.3,49,9069
"9,009,622,901,998",1998,Prospect,930.29,81,8707
"9,015,121,302,007",2007,Canterbury,380,19,5000
"9,009,548,702,000",2000,North Haven,2756.67,635,23035
"9,001,529,801,999",1999,Newtown,874.92,219,25031
"9,003,870,002,003",2003,Windsor,2310.47,658,28479
"9,001,639,702,009",2009,Ridgefield,289.34,71,24539
"9,013,449,102,000",2000,Mansfield,1264.48,262,20720
"9,003,122,702,007",2007,Canton,1369.72,135,9856
"9,003,653,702,009",2009,Rocky Hill,1627.85,318,19535
"9,015,627,101,998",1998,Putnam,799.82,72,9002
"9,003,870,702,003",2003,Windsor Locks,1937.6,236,12180
"9,003,326,402,002",2002,Granby,1509.4,159,10534
"9,015,138,102,007",2007,Chaplin,1223.24,28,2289
"9,001,634,801,998",1998,Redding,544.14,45,8270
"9,003,521,401,999",1999,Newington,2613.8,766,29306
"9,003,447,002,000",2000,Manchester,4819.15,2638,54740
"9,009,875,602,003",2003,Wolcott,2274.03,356,15655
"9,005,659,302,009",2009,Roxbury,711.43,16,2249
"9,005,109,402,000",2000,Canaan,1572.62,17,1081
"9,009,141,602,007",2007,Cheshire,991.53,288,29046
"9,011,662,102,009",2009,Salem,509.46,21,4122
"9,001,639,701,998",1998,Ridgefield,647.13,153,23643
"9,005,526,301,999",1999,New Milford,1799.34,488,27121
"9,001,681,702,003",2003,Shelton,1372.67,529,38538
"9,011,234,002,000",2000,East Lyme,1352.25,245,18118
"9,007,143,002,007",2007,Chester,1122.74,44,3919
"9,007,224,902,003",2003,East Hampton,997.43,132,13234
"9,005,664,202,009",2009,Salisbury,1221.78,46,3765
"9,003,220,702,000",2000,East Granby,1285.56,61,4745
"9,003,653,701,998",1998,Rocky Hill,2449.07,440,17966
"9,009,877,002,003",2003,Woodbridge,1346.69,121,8985
"9,007,153,502,007",2007,Clinton,2089.33,276,13210
"9,013,762,902,002",2002,Tolland,650.55,88,13527
"9,015,674,002,009",2009,Scotland,585.14,10,1709
"9,009,445,602,000",2000,Madison,1265.54,226,17858
"9,011,523,501,999",1999,New London,4931.63,1266,25671
"9,015,881,902,003",2003,Woodstock,980.66,73,7444
"9,005,879,102,003",2003,Woodbury,1007.32,95,9431
"9,005,659,301,998",1998,Roxbury,1357.68,29,2136
"9,007,816,802,003",2003,Westbrook,1264.26,82,6486
"9,011,159,102,007",2007,Colchester,608.47,95,15613
"9,009,676,102,009",2009,Seymour,1478.91,243,16431
"9,001,730,702,000",2000,Stamford,2617.8,3065,117083
"9,013,010,802,004",2004,Andover,509.07,16,3143
"9,003,101,002,000",2000,Burlington,854.7,70,8190
"9,005,160,502,007",2007,Colebrook,607.7,9,1481
"9,005,679,602,009",2009,Sharon,714.03,20,2801
"9,009,520,701,999",1999,New Haven,9713.98,12009,123626
"9,005,679,602,003",2003,Sharon,995.88,29,2912
"9,011,662,101,998",1998,Salem,1321.93,51,3858
"9,009,012,202,004",2004,Ansonia,2251.49,424,18832
"9,001,634,802,002",2002,Redding,402.46,34,8448
"9,013,164,002,007",2007,Columbia,694.05,37,5331
"9,005,664,201,998",1998,Salisbury,1458.39,58,3977
"9,005,513,501,999",1999,New Hartford,1001.97,61,6088
"9,001,681,702,009",2009,Shelton,1344.73,530,39413
"92,007",2007,Connecticut,2762.76,97347,3523537
"9,015,014,302,004",2004,Ashford,645.01,27,4186
"9,001,683,102,009",2009,Sherman,915.14,33,3606
"9,015,674,001,998",1998,Scotland,1285.35,20,1556
"9,011,442,102,000",2000,Lyme,793.65,16,2016
"9,003,020,602,004",2004,Avon,1039.55,174,16738
"9,005,172,402,007",2007,Cornwall,1615.17,23,1424
"9,003,689,402,009",2009,Simsbury,868.71,204,23483
"9,005,322,902,002",2002,Goshen,653.83,18,2753
"9,001,508,601,999",1999,New Fairfield,594.85,83,13953
"9,009,676,101,998",1998,Seymour,2316.55,358,15454
"9,013,178,002,007",2007,Coventry,1365.58,166,12156
"9,009,676,102,003",2003,Seymour,2160.96,341,15780
"9,015,627,102,002",2002,Putnam,1129.63,103,9118
"9,007,222,802,000",2000,East Haddam,1068.04,89,8333
"9,001,505,801,999",1999,New Canaan,1087.91,211,19395
"9,005,027,602,004",2004,Barkhamsted,636.06,23,3616
"9,005,679,601,998",1998,Sharon,1212.94,36,2968
"9,005,433,702,000",2000,Litchfield,1274.65,106,8316
"9,007,180,802,007",2007,Cromwell,2451.52,335,13665
"9,009,032,502,004",2004,Beacon Falls,916.11,51,5567
"9,003,713,902,009",2009,South Windsor,1778.8,455,25579
"9,013,692,202,009",2009,Somers,608.41,69,11341
"9,015,758,702,002",2002,Thompson,867.24,78,8994
"9,003,043,002,004",2004,Berlin,2182.78,412,18875
"9,001,185,002,007",2007,Danbury,2056.15,1626,79080
"9,009,696,402,009",2009,Southbury,814.37,161,19770
"9,009,622,902,002",2002,Prospect,1062.51,94,8847
"9,003,504,401,999",1999,New Britain,5539.71,3963,71538
"9,001,188,502,007",2007,Darien,1034.57,211,20395
"9,015,091,902,000",2000,Brooklyn,1477.76,106,7173
"9,001,683,101,998",1998,Sherman,600.99,23,3827
"9,001,047,202,004",2004,Bethel,733.28,134,18274
"9,013,720,902,000",2000,Stafford,1300.08,147,11307
"9,011,621,502,002",2002,Preston,1405.45,66,4696
"9,007,191,302,007",2007,Deep River,584.04,27,4623
"9,011,716,702,009",2009,Sprague,1374.46,41,2983
"9,007,208,102,000",2000,Durham,1071.37,71,6627
"9,009,499,501,999",1999,Naugatuck,1961.99,608,30989
"9,001,681,701,998",1998,Shelton,1839.85,701,38101
"9,005,049,302,004",2004,Bethlehem,457.67,16,3496
"9,003,689,401,998",1998,Simsbury,1196.52,278,23234
"9,009,195,502,007",2007,Derby,3914.03,499,12749
"9,015,674,002,003",2003,Scotland,808.96,13,1607
"9,013,720,902,009",2009,Stafford,641.19,77,12009
"9,007,618,002,002",2002,Portland,933.95,83,8887
"9,013,692,201,998",1998,Somers,892.77,93,10417
"9,003,705,502,009",2009,Southington,1843.92,788,42735
"9,001,089,802,000",2000,Brookfield,1212.97,190,15664
"9,007,208,102,007",2007,Durham,768.16,55,7160
"9,003,059,102,004",2004,Bloomfield,3002.96,599,19947
"9,001,730,702,009",2009,Stamford,2046.08,2498,122087
"9,005,494,601,999",1999,Morris,782.27,18,2301
"9,003,312,402,002",2002,Glastonbury,1299.94,421,32386
"9,003,713,901,998",1998,South Windsor,1167.46,285,24412
"9,003,220,702,007",2007,East Granby,1054.31,53,5027
"9,005,540,302,000",2000,North Canaan,1313.43,44,3350
"9,015,734,202,009",2009,Sterling,931.59,35,3757
"9,011,432,302,000",2000,Lisbon,1081.35,44,4069
"9,005,664,202,003",2003,Salisbury,1049.67,41,3906
"9,005,757,302,002",2002,Thomaston,1490.77,113,7580
"9,009,045,802,004",2004,Bethany,762.05,40,5249
"9,007,222,802,007",2007,East Haddam,866.34,77,8888
"9,011,068,202,004",2004,Bozrah,1298.17,32,2465
"9,011,489,001,999",1999,Montville,1407.31,261,18546
"9,013,062,602,004",2004,Bolton,899.64,45,5002
"9,009,696,401,998",1998,Southbury,1443.42,268,18567
"9,003,084,902,000",2000,Bristol,2880.36,1730,60062
"9,011,737,702,009",2009,Stonington,1493.43,276,18481
"9,007,224,902,007",2007,East Hampton,1407.05,184,13077
"9,011,426,002,000",2000,Ledyard,1191.53,175,14687
"9,009,195,502,000",2000,Derby,3567.11,442,12391
"9,009,828,702,003",2003,West Haven,4463.53,2380,53321
"9,003,705,501,998",1998,Southington,2907.27,1155,39728
"9,003,226,302,007",2007,East Hartford,3623.72,1839,50749
"9,001,080,702,004",2004,Bridgeport,5578.15,7888,141409
"9,003,745,402,009",2009,Suffield,1140.68,177,15517
"9,001,741,902,009",2009,Stratford,3155.55,1617,51243
"9,011,716,701,998",1998,Sprague,1043.42,31,2971
"9,001,486,201,999",1999,Monroe,1117.06,215,19247
"9,005,082,102,004",2004,Bridgewater,168.07,3,1785
"9,015,610,302,002",2002,Pomfret,565.84,22,3888
"9,009,229,102,007",2007,East Haven,2802.64,811,28937
"9,011,423,902,000",2000,Lebanon,1027.94,71,6907
"9,005,757,302,009",2009,Thomaston,1579.82,124,7849
"9,007,407,102,000",2000,Killingworth,664.67,40,6018
"9,013,720,901,998",1998,Stafford,1821.88,206,11307
"9,003,745,402,002",2002,Suffield,1100.86,154,13989
"9,009,073,102,004",2004,Branford,2888.81,821,28420
"9,011,234,002,007",2007,East Lyme,1236.27,233,18847
"9,003,084,902,004",2004,Bristol,3020.19,1819,60228
"9,015,758,702,009",2009,Thompson,861.7,81,9400
"9,015,405,002,000",2000,Killingly,2124.82,350,16472
"9,009,475,351,999",1999,Milford,3970.94,2077,52305
"9,001,730,701,998",1998,Stamford,3835.74,4491,117083
"9,003,248,002,007",2007,East Windsor,3634.17,391,10759
"9,001,089,802,004",2004,Brookfield,1176.54,188,15979
"9,013,762,902,009",2009,Tolland,612.34,91,14861
"9,001,741,902,002",2002,Stratford,3151.74,1584,50258
"9,015,091,902,004",2004,Brooklyn,882.97,67,7588
"9,015,218,602,007",2007,Eastford,350.88,6,1710
"9,009,045,801,999",1999,Bethany,912.7,46,5040
"9,005,402,902,000",2000,Kent,1224.63,35,2858
"9,011,716,702,000",2000,Sprague,807.81,24,2971
"9,005,765,702,009",2009,Torrington,2296.98,833,36265
"9,011,555,001,999",1999,North Stonington,1923.46,96,4991
"9,001,238,902,007",2007,Easton,404.04,30,7425
"9,015,734,201,998",1998,Sterling,1258.47,39,3099
"9,011,737,701,998",1998,Stonington,2474.03,443,17906
"9,007,473,601,999",1999,Middletown,3088.01,1333,43167
"9,011,299,102,002",2002,Franklin,1943.84,36,1852
"9,013,379,102,000",2000,Hebron,592.33,51,8610
"9,003,101,002,004",2004,Burlington,579.11,50,8634
"9,011,737,702,002",2002,Stonington,2822.45,509,18034
