"CT County Subdivisions,Year",Year,Town,Total property crime Rate,"Crime, Total property crime, Number","Total estimated population, Number"
"9,015,610,302,000",2000,Pomfret,421.27,16,3798
"9,009,548,702,008",2008,North Haven,2579.46,616,23881
"9,007,224,902,005",2005,East Hampton,,,13156
"9,011,555,002,008",2008,North Stonington,1069.52,56,5236
"9,015,360,001,999",1999,Hampton,341.3,6,1758
"9,001,560,602,008",2008,Norwalk,2285.1,1944,85073
"9,005,540,302,009",2009,North Canaan,934.02,31,3319
"9,007,143,002,000",2000,Chester,1148.81,43,3743
"9,001,089,801,998",1998,Brookfield,1110.83,174,15664
"9,009,538,902,009",2009,North Branford,1720.42,247,14357
"9,003,226,302,005",2005,East Hartford,,,50414
"9,009,032,502,007",2007,Beacon Falls,998.62,58,5808
"9,011,068,201,999",1999,Bozrah,1654.65,39,2357
"9,015,091,901,998",1998,Brooklyn,1017.71,73,7173
"9,009,548,702,009",2009,North Haven,2201.19,528,23987
"9,009,229,102,005",2005,East Haven,,,28723
"9,011,562,702,008",2008,Norwich,2382.76,944,39618
"9,009,356,501,999",1999,Hamden,3185.56,1813,56913
"9,011,562,702,000",2000,Norwich,2979.21,1076,36117
"9,011,570,402,008",2008,Old Lyme,806.45,61,7564
"9,011,555,002,009",2009,North Stonington,1234.33,65,5266
"9,003,101,001,998",1998,Burlington,586.08,48,8190
"9,003,043,002,007",2007,Berlin,2199.16,426,19371
"9,001,560,602,009",2009,Norwalk,2104.57,1796,85338
"9,003,447,002,003",2003,Manchester,4378.92,2443,55790
"9,011,234,002,005",2005,East Lyme,,,18639
"9,009,045,802,007",2007,Bethany,591.93,32,5406
"9,007,573,202,008",2008,Old Saybrook,2113.57,217,10267
"9,005,027,602,007",2007,Barkhamsted,593.31,22,3708
"9,003,248,002,005",2005,East Windsor,,,10490
"9,005,109,401,998",1998,Canaan,1110.08,12,1081
"9,011,562,702,009",2009,Norwich,2693.8,1079,40055
"9,001,047,202,007",2007,Bethel,607.74,112,18429
"9,009,576,002,008",2008,Orange,3432.05,474,13811
"9,009,828,702,000",2000,West Haven,3540.87,1854,52360
"9,011,570,402,009",2009,Old Lyme,632.99,48,7583
"9,015,121,301,998",1998,Canterbury,788.58,37,4692
"9,015,218,602,005",2005,Eastford,,,1684
"9,005,049,302,007",2007,Bethlehem,563.06,20,3552
"9,003,713,902,003",2003,South Windsor,1665.26,413,24801
"9,007,352,301,999",1999,Haddam,852.31,61,7157
"9,001,238,902,005",2005,Easton,,,7381
"9,001,634,802,000",2000,Redding,556.23,46,8270
"9,009,583,002,008",2008,Oxford,866.98,105,12111
"9,003,122,701,998",1998,Canton,1470.59,130,8840
"9,015,599,802,008",2008,Plainfield,865.69,132,15248
"9,007,573,202,009",2009,Old Saybrook,2223.31,228,10255
"9,013,253,602,005",2005,Ellington,,,14262
"9,003,059,102,007",2007,Bloomfield,3037.2,614,20216
"9,013,778,302,003",2003,Union,1889.34,14,741
"9,009,576,002,009",2009,Orange,3226.74,448,13884
"9,009,800,702,003",2003,Waterbury,6913.12,7480,108200
"9,013,062,602,007",2007,Bolton,500.9,25,4991
"9,015,138,101,998",1998,Chaplin,2044.44,46,2250
"9,003,259,902,005",2005,Enfield,,,44933
"9,003,601,202,008",2008,Plainville,3611.52,637,17638
"9,011,068,202,007",2007,Bozrah,1335.43,34,2546
"9,005,607,502,008",2008,Plymouth,2450.29,297,12121
"9,009,583,002,009",2009,Oxford,742.12,92,12397
"9,009,141,601,998",1998,Cheshire,1310.3,374,28543
"9,015,599,802,009",2009,Plainfield,678.59,104,15326
"9,007,262,702,005",2005,Essex,,,6594
"9,009,073,102,007",2007,Branford,2777.88,784,28223
"9,013,778,302,002",2002,Union,413.79,3,725
"9,001,266,202,005",2005,Fairfield,,,58372
"9,007,143,001,998",1998,Chester,988.51,37,3743
"9,015,610,302,008",2008,Pomfret,216.5,9,4157
"9,003,020,601,999",1999,Avon,1307.48,207,15832
"9,001,080,702,007",2007,Bridgeport,4605.13,6577,142819
"9,007,618,002,008",2008,Portland,983.64,92,9353
"9,003,601,202,009",2009,Plainville,3767.61,666,17677
"9,005,607,502,009",2009,Plymouth,1551.47,189,12182
"9,003,312,402,001",2001,Glastonbury,1272.91,409,32131
"9,005,372,802,000",2000,Harwinton,719.29,38,5283
"9,009,356,502,003",2003,Hamden,2482.5,1443,58127
"9,003,276,002,005",2005,Farmington,,,24491
"9,003,371,402,010",2010,Hartland,567.64,12,2114
"9,011,786,002,000",2000,Voluntown,988.92,25,2528
"9,005,804,901,999",1999,Watertown,1721.99,373,21661
"9,011,299,102,001",2001,Franklin,1626.9,30,1844
"9,003,122,702,002",2002,Canton,1401.97,128,9130
"9,011,299,102,005",2005,Franklin,,,1879
"9,005,322,901,999",1999,Goshen,1112.35,30,2697
"9,011,802,801,999",1999,Waterford,3242.48,621,19152
"9,003,312,402,003",2003,Glastonbury,1433.78,468,32641
"9,007,470,801,999",1999,Middlefield,1023.08,43,4203
"9,001,683,102,002",2002,Sherman,502.91,19,3778
"9,003,371,402,000",2000,Hartland,745.53,15,2012
"9,005,372,802,010",2010,Harwinton,567.17,32,5642
"9,003,276,002,001",2001,Farmington,3103.61,739,23811
"9,005,322,902,005",2005,Goshen,,,2837
"9,015,121,302,002",2002,Canterbury,815.9,39,4780
"9,009,800,701,999",1999,Waterbury,5383.56,5775,107271
"9,007,352,302,003",2003,Haddam,612.19,46,7514
"9,009,469,401,999",1999,Middlebury,1302.12,84,6451
"9,013,379,102,010",2010,Hebron,805.29,78,9686
"9,015,218,601,999",1999,Eastford,803.46,13,1618
"9,003,326,402,005",2005,Granby,,,10815
"9,005,109,402,002",2002,Canaan,1438.85,16,1112
"9,001,266,202,001",2001,Fairfield,2175.65,1252,57546
"9,005,797,201,999",1999,Washington,1084.54,39,3596
"9,003,312,402,005",2005,Glastonbury,,,33152
"9,015,405,002,010",2010,Killingly,1105.35,192,17370
"9,005,402,902,010",2010,Kent,939.91,28,2979
"9,001,336,202,005",2005,Greenwich,,,61136
"9,001,681,702,002",2002,Shelton,1096.55,421,38393
"9,005,795,101,999",1999,Warren,478.47,6,1254
"9,003,101,002,002",2002,Burlington,772.71,65,8412
"9,015,674,002,000",2000,Scotland,706.94,11,1556
"9,013,782,502,000",2000,Vernon,3082.35,865,28063
"9,007,262,702,001",2001,Essex,889.16,58,6523
"9,009,465,201,999",1999,Meriden,3174.58,1849,58244
"9,009,787,401,999",1999,Wallingford,2017.38,868,43026
"9,011,339,002,005",2005,Griswold,,,11379
"9,011,342,502,005",2005,Groton,,,40011
"9,003,259,902,001",2001,Enfield,1895.65,856,45156
"9,007,407,102,010",2010,Killingworth,444.44,29,6525
"9,009,349,502,005",2005,Guilford,,,21887
"9,009,349,502,003",2003,Guilford,1857.91,403,21691
"9,011,786,001,999",1999,Voluntown,949.37,24,2528
"9,011,426,002,010",2010,Ledyard,956.75,144,15051
"9,003,458,201,999",1999,Marlborough,1050.97,60,5709
"9,003,370,702,000",2000,Hartford,8003.09,9730,121578
"9,003,248,001,999",1999,East Windsor,2963.94,291,9818
"9,013,253,602,001",2001,Ellington,583.82,77,13189
"9,013,782,501,999",1999,Vernon,2497.95,701,28063
"9,007,352,302,005",2005,Haddam,,,7752
"9,001,238,902,001",2001,Easton,493.56,36,7294
"9,015,091,902,002",2002,Brooklyn,1043.36,77,7380
"9,001,089,802,002",2002,Brookfield,1289.34,204,15822
"9,011,432,302,010",2010,Lisbon,2328.26,101,4338
"9,011,423,902,010",2010,Lebanon,875.75,64,7308
"9,009,356,502,005",2005,Hamden,,,58937
"9,003,705,502,000",2000,Southington,2033.83,808,39728
"9,015,218,602,001",2001,Eastford,1042.31,17,1631
"9,013,778,301,999",1999,Union,2164.5,15,693
"9,005,433,702,010",2010,Litchfield,968.58,82,8466
"9,011,159,102,000",2000,Colchester,1168.3,170,14551
"9,005,679,602,002",2002,Sharon,580.01,17,2931
"9,013,449,101,999",1999,Mansfield,1124.52,233,20720
"9,015,360,002,005",2005,Hampton,,,1811
"9,003,084,902,002",2002,Bristol,2708.45,1629,60145
"9,011,342,502,003",2003,Groton,2111.64,844,39969
"9,003,248,002,001",2001,East Windsor,3878.62,386,9952
"9,011,442,102,010",2010,Lyme,581.88,14,2406
"9,001,772,001,999",1999,Trumbull,3589.05,1229,34243
"9,003,370,702,005",2005,Hartford,,,123177
"9,013,778,302,000",2000,Union,721.5,5,693
"9,011,234,002,001",2001,East Lyme,1168.92,213,18222
"9,009,445,602,010",2010,Madison,1160.44,212,18269
"9,011,339,002,003",2003,Griswold,798.21,89,11150
"9,005,765,701,999",1999,Torrington,2056.7,724,35202
"9,003,371,402,005",2005,Hartland,,,2063
"9,005,082,102,002",2002,Bridgewater,554.02,10,1805
"9,011,299,102,003",2003,Franklin,1826.97,34,1861
"9,003,447,002,010",2010,Manchester,3171.31,1847,58241
"9,009,229,102,001",2001,East Haven,2689.43,761,28296
"9,015,360,002,000",2000,Hampton,341.3,6,1758
"9,005,372,802,005",2005,Harwinton,,,5463
"9,013,762,901,999",1999,Tolland,578.12,76,13146
"9,003,312,401,999",1999,Glastonbury,1461.91,466,31876
"9,001,080,702,002",2002,Bridgeport,4880.79,6856,140469
"9,013,379,102,005",2005,Hebron,,,9148
"9,013,449,102,010",2010,Mansfield,640.47,170,26543
"9,011,234,001,999",1999,East Lyme,1164.59,211,18118
"9,003,447,001,999",1999,Manchester,4398.98,2408,54740
"9,003,458,202,010",2010,Marlborough,1093.07,70,6404
"9,009,676,102,002",2002,Seymour,1186.91,186,15671
"9,003,226,302,001",2001,East Hartford,3244.68,1614,49743
"9,015,758,701,999",1999,Thompson,1013.74,90,8878
"9,001,683,102,000",2000,Sherman,679.38,26,3827
"9,001,683,102,003",2003,Sherman,799.36,30,3753
"9,005,402,902,005",2005,Kent,,,2919
"9,007,224,902,001",2001,East Hampton,638.47,85,13313
"9,005,757,301,999",1999,Thomaston,1492.74,112,7503
"9,009,465,202,010",2010,Meriden,3018.01,1837,60868
"9,009,073,102,002",2002,Branford,3040.07,868,28552
"9,007,222,802,001",2001,East Haddam,713.27,60,8412
"9,015,405,002,005",2005,Killingly,,,16921
"9,001,336,202,003",2003,Greenwich,1155.07,706,61122
"9,015,674,002,002",2002,Scotland,628.93,10,1590
"9,007,407,102,005",2005,Killingworth,,,6272
"9,003,745,401,999",1999,Suffield,1047.82,142,13552
"9,011,068,202,002",2002,Bozrah,1534.63,37,2411
"9,005,679,602,000",2000,Sharon,640.16,19,2968
"9,011,423,902,005",2005,Lebanon,,,7108
"9,001,772,002,000",2000,Trumbull,3078,1054,34243
"9,009,445,601,999",1999,Madison,985.55,176,17858
"9,015,014,301,999",1999,Ashford,1024.89,42,4098
"9,011,299,101,999",1999,Franklin,1961.85,36,1835
"9,003,220,702,001",2001,East Granby,626.96,30,4785
"9,005,664,202,002",2002,Salisbury,1068.7,42,3930
"9,001,741,901,999",1999,Stratford,2967.42,1483,49976
"9,003,059,102,002",2002,Bloomfield,3020.19,597,19767
"9,013,062,602,002",2002,Bolton,818.36,41,5010
"9,011,737,701,999",1999,Stonington,2239.47,401,17906
"9,003,276,002,003",2003,Farmington,3242.1,783,24151
"9,007,208,102,001",2001,Durham,1059.23,71,6703
"9,007,153,502,000",2000,Clinton,1275.39,167,13094
"9,011,432,302,005",2005,Lisbon,,,4204
"9,005,049,302,002",2002,Bethlehem,896.21,31,3459
"9,009,469,402,010",2010,Middlebury,1280.53,97,7575
"9,011,426,002,005",2005,Ledyard,,,14869
"9,011,442,101,999",1999,Lyme,942.46,19,2016
"9,003,326,402,003",2003,Granby,1712.46,182,10628
"9,015,734,201,999",1999,Sterling,968.05,30,3099
"9,001,266,202,003",2003,Fairfield,2669.13,1547,57959
"9,009,195,502,001",2001,Derby,3247.07,404,12442
"9,011,442,102,005",2005,Lyme,,,2211
"9,001,047,202,002",2002,Bethel,968.63,176,18170
"9,009,229,101,999",1999,East Haven,2174.61,613,28189
"9,001,730,701,999",1999,Stamford,2626.34,3075,117083
"9,007,180,801,999",1999,Cromwell,2789.22,359,12871
"9,011,662,102,002",2002,Salem,995.66,39,3917
"9,009,445,602,005",2005,Madison,,,18064
"9,009,045,802,002",2002,Bethany,563.65,29,5145
"9,007,191,302,001",2001,Deep River,1062.45,49,4612
"9,005,433,702,005",2005,Litchfield,,,8391
"9,005,433,701,999",1999,Litchfield,1094.28,91,8316
"9,013,720,901,999",1999,Stafford,981.69,111,11307
"9,001,188,502,001",2001,Darien,1156.19,228,19720
"9,003,043,002,002",2002,Berlin,2528.98,469,18545
"9,009,012,201,999",1999,Ansonia,1972.62,366,18554
"9,005,765,702,000",2000,Torrington,2596.44,914,35202
"9,009,032,502,002",2002,Beacon Falls,869.24,47,5407
"9,001,185,001,999",1999,Danbury,2880.5,2156,74848
"9,009,696,402,000",2000,Southbury,1249.53,232,18567
"9,013,449,102,005",2005,Mansfield,,,23632
"9,009,356,502,000",2000,Hamden,3173.26,1806,56913
"9,011,716,701,999",1999,Sprague,1144.4,34,2971
"9,001,185,002,001",2001,Danbury,2481.01,1872,75453
"9,003,458,202,005",2005,Marlborough,,,6057
"9,005,027,602,002",2002,Barkhamsted,759.49,27,3555
"9,007,262,702,003",2003,Essex,609.94,40,6558
"9,005,659,302,002",2002,Roxbury,832.95,18,2161
"9,007,180,802,001",2001,Cromwell,2618.61,340,12984
"9,009,465,202,005",2005,Meriden,,,59556
"9,005,322,902,003",2003,Goshen,611.29,17,2781
"9,003,705,501,999",1999,Southington,2333.37,927,39728
"9,003,447,002,005",2005,Manchester,,,56491
"9,011,432,301,999",1999,Lisbon,761.86,31,4069
"9,003,020,602,002",2002,Avon,1185.14,193,16285
"9,013,010,801,999",1999,Andover,955.2,29,3036
"9,003,276,001,999",1999,Farmington,3849.24,910,23641
"9,009,469,402,005",2005,Middlebury,,,7013
"9,003,259,902,003",2003,Enfield,2766.12,1246,45045
"9,013,762,902,000",2000,Tolland,502.05,66,13146
"9,007,352,302,000",2000,Haddam,1355.32,97,7157
"9,009,696,401,999",1999,Southbury,996.39,185,18567
"9,013,178,002,001",2001,Coventry,1577.99,183,11597
"9,003,653,702,002",2002,Rocky Hill,2052.96,376,18315
"9,011,426,001,999",1999,Ledyard,898.75,132,14687
"9,009,012,202,002",2002,Ansonia,2118.44,396,18693
"9,015,014,302,002",2002,Ashford,748.43,31,4142
"9,005,172,402,001",2001,Cornwall,2861.13,41,1433
"9,003,689,401,999",1999,Simsbury,946.89,220,23234
"9,007,470,802,005",2005,Middlefield,,,4314
"9,001,266,201,999",1999,Fairfield,2682.25,1538,57340
"9,013,178,001,999",1999,Coventry,1173.5,135,11504
"9,003,713,901,999",1999,South Windsor,1019.99,249,24412
"9,011,423,901,999",1999,Lebanon,839.73,58,6907
"9,009,475,352,005",2005,Milford,,,52532
"9,013,010,802,002",2002,Andover,809.32,25,3089
"9,013,164,002,001",2001,Columbia,935.88,47,5022
"9,007,407,101,999",1999,Killingworth,465.27,28,6018
"92,001",2001,Connecticut,2786.6,95369,3422418
"9,001,486,202,005",2005,Monroe,,,19363
"9,015,881,902,001",2001,Woodstock,932.15,68,7295
"9,003,226,301,999",1999,East Hartford,3669.19,1819,49575
"9,013,692,201,999",1999,Somers,710.38,74,10417
"9,007,473,602,005",2005,Middletown,,,45408
"9,001,834,302,003",2003,Weston,873.02,88,10080
"9,003,601,201,998",1998,Plainville,3491.46,605,17328
"9,005,082,102,007",2007,Bridgewater,512.53,9,1756
"9,015,610,302,009",2009,Pomfret,547.36,23,4202
"9,009,548,701,999",1999,North Haven,2396.35,552,23035
"9,015,121,302,000",2000,Canterbury,1023.02,48,4692
"9,011,555,002,000",2000,North Stonington,1422.56,71,4991
"9,003,084,902,007",2007,Bristol,2564.91,1548,60353
"9,001,835,002,003",2003,Westport,2247.32,583,25942
"9,007,618,002,009",2009,Portland,869.57,82,9430
"9,007,470,802,000",2000,Middlefield,1475.14,62,4203
"9,005,607,501,998",1998,Plymouth,1805.05,210,11634
"9,003,849,002,003",2003,Wethersfield,2625.99,693,26390
"9,003,226,302,003",2003,East Hartford,3941.85,1974,50078
"9,001,336,202,002",2002,Greenwich,906.49,554,61115
"9,001,089,802,007",2007,Brookfield,1073.01,174,16216
"9,015,610,301,998",1998,Pomfret,684.57,26,3798
"9,009,469,402,000",2000,Middlebury,1906.68,123,6451
"9,005,540,301,999",1999,North Canaan,1223.88,41,3350
"9,015,091,902,007",2007,Brooklyn,670.97,53,7899
"9,013,859,502,003",2003,Willington,1620.99,97,5984
"9,009,622,902,009",2009,Prospect,460.63,43,9335
"9,011,621,502,009",2009,Preston,995.34,47,4722
"9,007,618,001,998",1998,Portland,939.07,82,8732
"9,001,639,702,002",2002,Ridgefield,528.48,126,23842
"9,009,538,901,999",1999,North Branford,934.85,130,13906
"9,009,465,202,000",2000,Meriden,3554.01,2070,58244
"9,001,772,002,002",2002,Trumbull,2621.54,907,34598
"9,003,101,002,007",2007,Burlington,903.21,81,8968
"9,001,863,702,003",2003,Wilton,838.87,149,17762
"9,015,734,202,000",2000,Sterling,677.64,21,3099
"9,011,621,501,998",1998,Preston,1066.55,50,4688
"9,015,627,102,009",2009,Putnam,514.38,49,9526
"9,005,534,701,999",1999,Norfolk,1024.1,17,1660
"9,005,109,402,007",2007,Canaan,1094.28,13,1188
"9,005,864,402,003",2003,Winchester,2731.38,296,10837
"9,003,458,202,000",2000,Marlborough,1033.46,59,5709
"9,005,765,702,002",2002,Torrington,2731.53,968,35438
"9,015,867,902,003",2003,Windham,682.78,161,23580
"9,001,634,802,009",2009,Redding,529.28,48,9069
"9,009,622,901,998",1998,Prospect,815.44,71,8707
"9,015,121,302,007",2007,Canterbury,360,18,5000
"9,009,548,702,000",2000,North Haven,2704.58,623,23035
"9,001,529,801,999",1999,Newtown,826.97,207,25031
"9,003,870,002,003",2003,Windsor,2184.07,622,28479
"9,001,639,702,009",2009,Ridgefield,273.03,67,24539
"9,013,449,102,000",2000,Mansfield,1143.82,237,20720
"9,003,122,702,007",2007,Canton,1349.43,133,9856
"9,003,653,702,009",2009,Rocky Hill,1571.54,307,19535
"9,015,627,101,998",1998,Putnam,766.5,69,9002
"9,003,870,702,003",2003,Windsor Locks,1814.45,221,12180
"9,003,326,402,002",2002,Granby,1442.95,152,10534
"9,015,138,102,007",2007,Chaplin,1048.49,24,2289
"9,001,634,801,998",1998,Redding,507.86,42,8270
"9,003,521,401,999",1999,Newington,2518.26,738,29306
"9,003,447,002,000",2000,Manchester,4497.63,2462,54740
"9,009,875,602,003",2003,Wolcott,2248.48,352,15655
"9,005,659,302,009",2009,Roxbury,711.43,16,2249
"9,005,109,402,000",2000,Canaan,1387.6,15,1081
"9,009,141,602,007",2007,Cheshire,967.43,281,29046
"9,011,662,102,009",2009,Salem,509.46,21,4122
"9,001,639,701,998",1998,Ridgefield,642.9,152,23643
"9,005,526,301,999",1999,New Milford,1673.98,454,27121
"9,001,681,702,003",2003,Shelton,1297.42,500,38538
"9,011,234,002,000",2000,East Lyme,1142.51,207,18118
"9,007,143,002,007",2007,Chester,1122.74,44,3919
"9,007,224,902,003",2003,East Hampton,936.98,124,13234
"9,005,664,202,009",2009,Salisbury,1142.1,43,3765
"9,003,220,702,000",2000,East Granby,1138.04,54,4745
"9,003,653,701,998",1998,Rocky Hill,2371.15,426,17966
"9,009,877,002,003",2003,Woodbridge,1313.3,118,8985
"9,007,153,502,007",2007,Clinton,1975.78,261,13210
"9,013,762,902,002",2002,Tolland,517.48,70,13527
"9,015,674,002,009",2009,Scotland,526.62,9,1709
"9,009,445,602,000",2000,Madison,1259.94,225,17858
"9,011,523,501,999",1999,New London,3996.73,1026,25671
"9,015,881,902,003",2003,Woodstock,953.79,71,7444
"9,005,879,102,003",2003,Woodbury,975.51,92,9431
"9,005,659,301,998",1998,Roxbury,1357.68,29,2136
"9,007,816,802,003",2003,Westbrook,1202.59,78,6486
"9,011,159,102,007",2007,Colchester,538.01,84,15613
"9,009,676,102,009",2009,Seymour,1387.62,228,16431
"9,001,730,702,000",2000,Stamford,2372.68,2778,117083
"9,013,010,802,004",2004,Andover,445.43,14,3143
"9,003,101,002,000",2000,Burlington,769.23,63,8190
"9,005,160,502,007",2007,Colebrook,607.7,9,1481
"9,005,679,602,009",2009,Sharon,678.33,19,2801
"9,009,520,701,999",1999,New Haven,8163.33,10092,123626
"9,005,679,602,003",2003,Sharon,995.88,29,2912
"9,011,662,101,998",1998,Salem,1088.65,42,3858
"9,009,012,202,004",2004,Ansonia,2092.18,394,18832
"9,001,634,802,002",2002,Redding,390.63,33,8448
"9,013,164,002,007",2007,Columbia,581.5,31,5331
"9,005,664,201,998",1998,Salisbury,1382.95,55,3977
"9,005,513,501,999",1999,New Hartford,969.12,59,6088
"9,001,681,702,009",2009,Shelton,1263.54,498,39413
"92,007",2007,Connecticut,2464.85,86850,3523537
"9,015,014,302,004",2004,Ashford,621.12,26,4186
"9,001,683,102,009",2009,Sherman,887.41,32,3606
"9,015,674,001,998",1998,Scotland,1092.54,17,1556
"9,011,442,102,000",2000,Lyme,694.44,14,2016
"9,003,020,602,004",2004,Avon,1009.68,169,16738
"9,005,172,402,007",2007,Cornwall,1474.72,21,1424
"9,003,689,402,009",2009,Simsbury,855.94,201,23483
"9,005,322,902,002",2002,Goshen,617.51,17,2753
"9,001,508,601,999",1999,New Fairfield,501.68,70,13953
"9,009,676,101,998",1998,Seymour,2122.43,328,15454
"9,013,178,002,007",2007,Coventry,1291.54,157,12156
"9,009,676,102,003",2003,Seymour,1888.47,298,15780
"9,015,627,102,002",2002,Putnam,1008.99,92,9118
"9,007,222,802,000",2000,East Haddam,744.03,62,8333
"9,001,505,801,999",1999,New Canaan,1036.35,201,19395
"9,005,027,602,004",2004,Barkhamsted,525.44,19,3616
"9,005,679,601,998",1998,Sharon,1212.94,36,2968
"9,005,433,702,000",2000,Litchfield,1118.33,93,8316
"9,007,180,802,007",2007,Cromwell,2305.16,315,13665
"9,009,032,502,004",2004,Beacon Falls,898.15,50,5567
"9,003,713,902,009",2009,South Windsor,1677.16,429,25579
"9,013,692,202,009",2009,Somers,458.51,52,11341
"9,015,758,702,002",2002,Thompson,700.47,63,8994
"9,003,043,002,004",2004,Berlin,2103.31,397,18875
"9,001,185,002,007",2007,Danbury,1874.05,1482,79080
"9,009,696,402,009",2009,Southbury,773.9,153,19770
"9,009,622,902,002",2002,Prospect,949.47,84,8847
"9,003,504,401,999",1999,New Britain,5064.44,3623,71538
"9,001,188,502,007",2007,Darien,1019.86,208,20395
"9,015,091,902,000",2000,Brooklyn,1226.82,88,7173
"9,001,683,101,998",1998,Sherman,600.99,23,3827
"9,001,047,202,004",2004,Bethel,689.5,126,18274
"9,013,720,902,000",2000,Stafford,1025.91,116,11307
"9,011,621,502,002",2002,Preston,1235.09,58,4696
"9,007,191,302,007",2007,Deep River,584.04,27,4623
"9,011,716,702,009",2009,Sprague,1240.36,37,2983
"9,007,208,102,000",2000,Durham,875.21,58,6627
"9,009,499,501,999",1999,Naugatuck,1749.01,542,30989
"9,001,681,701,998",1998,Shelton,1782.11,679,38101
"9,005,049,302,004",2004,Bethlehem,457.67,16,3496
"9,003,689,401,998",1998,Simsbury,1162.09,270,23234
"9,009,195,502,007",2007,Derby,3725.78,475,12749
"9,015,674,002,003",2003,Scotland,808.96,13,1607
"9,013,720,902,009",2009,Stafford,624.53,75,12009
"9,007,618,002,002",2002,Portland,922.7,82,8887
"9,013,692,201,998",1998,Somers,758.38,79,10417
"9,003,705,502,009",2009,Southington,1790.1,765,42735
"9,001,089,802,000",2000,Brookfield,1181.05,185,15664
"9,007,208,102,007",2007,Durham,684.36,49,7160
"9,003,059,102,004",2004,Bloomfield,2732.24,545,19947
"9,001,730,702,009",2009,Stamford,1759.4,2148,122087
"9,005,494,601,999",1999,Morris,738.81,17,2301
"9,003,312,402,002",2002,Glastonbury,1253.63,406,32386
"9,003,713,901,998",1998,South Windsor,1118.3,273,24412
"9,003,220,702,007",2007,East Granby,915.06,46,5027
"9,005,540,302,000",2000,North Canaan,925.37,31,3350
"9,015,734,202,009",2009,Sterling,825.13,31,3757
"9,011,432,302,000",2000,Lisbon,983.04,40,4069
"9,005,664,202,003",2003,Salisbury,1049.67,41,3906
"9,005,757,302,002",2002,Thomaston,1398.42,106,7580
"9,009,045,802,004",2004,Bethany,704.9,37,5249
"9,007,222,802,007",2007,East Haddam,866.34,77,8888
"9,011,068,202,004",2004,Bozrah,1257.61,31,2465
"9,011,489,001,999",1999,Montville,1008.3,187,18546
"9,013,062,602,004",2004,Bolton,859.66,43,5002
"9,009,696,401,998",1998,Southbury,1346.47,250,18567
"9,003,084,902,000",2000,Bristol,2487.43,1494,60062
"9,011,737,702,009",2009,Stonington,1433.91,265,18481
"9,007,224,902,007",2007,East Hampton,1384.11,181,13077
"9,011,426,002,000",2000,Ledyard,1014.5,149,14687
"9,009,195,502,000",2000,Derby,3228.15,400,12391
"9,009,828,702,003",2003,West Haven,4172.84,2225,53321
"9,003,705,501,998",1998,Southington,2841.82,1129,39728
"9,003,226,302,007",2007,East Hartford,3178.39,1613,50749
"9,001,080,702,004",2004,Bridgeport,4411.32,6238,141409
"9,003,745,402,009",2009,Suffield,1089.13,169,15517
"9,001,741,902,009",2009,Stratford,2841.36,1456,51243
"9,011,716,701,998",1998,Sprague,841.47,25,2971
"9,001,486,201,999",1999,Monroe,1096.27,211,19247
"9,005,082,102,004",2004,Bridgewater,168.07,3,1785
"9,015,610,302,002",2002,Pomfret,514.4,20,3888
"9,009,229,102,007",2007,East Haven,2654.04,768,28937
"9,011,423,902,000",2000,Lebanon,941.07,65,6907
"9,005,757,302,009",2009,Thomaston,1554.34,122,7849
"9,007,407,102,000",2000,Killingworth,648.06,39,6018
"9,013,720,901,998",1998,Stafford,1556.56,176,11307
"9,003,745,402,002",2002,Suffield,1079.42,151,13989
"9,009,073,102,004",2004,Branford,2719.92,773,28420
"9,011,234,002,007",2007,East Lyme,1140.77,215,18847
"9,003,084,902,004",2004,Bristol,2767.82,1667,60228
"9,015,758,702,009",2009,Thompson,819.15,77,9400
"9,015,405,002,000",2000,Killingly,1493.44,246,16472
"9,009,475,351,999",1999,Milford,3814.17,1995,52305
"9,001,730,701,998",1998,Stamford,3463.36,4055,117083
"9,003,248,002,007",2007,East Windsor,3392.51,365,10759
"9,001,089,802,004",2004,Brookfield,1057.64,169,15979
"9,013,762,902,009",2009,Tolland,592.15,88,14861
"9,001,741,902,002",2002,Stratford,2924.91,1470,50258
"9,015,091,902,004",2004,Brooklyn,843.44,64,7588
"9,015,218,602,007",2007,Eastford,233.92,4,1710
"9,009,045,801,999",1999,Bethany,773.81,39,5040
"9,005,402,902,000",2000,Kent,1189.64,34,2858
"9,011,716,702,000",2000,Sprague,740.49,22,2971
"9,005,765,702,009",2009,Torrington,2109.47,765,36265
"9,011,555,001,999",1999,North Stonington,1703.07,85,4991
"9,001,238,902,007",2007,Easton,377.1,28,7425
"9,015,734,201,998",1998,Sterling,1097.13,34,3099
"9,011,737,701,998",1998,Stonington,2418.18,433,17906
"9,007,473,601,999",1999,Middletown,2974.49,1284,43167
"9,011,299,102,002",2002,Franklin,1781.86,33,1852
"9,013,379,102,000",2000,Hebron,522.65,45,8610
"9,003,101,002,004",2004,Burlington,567.52,49,8634
"9,011,737,702,002",2002,Stonington,2722.64,491,18034
"9,005,109,402,004",2004,Canaan,612.96,7,1142
"9,001,772,002,009",2009,Trumbull,2232.08,800,35841
"9,007,618,002,003",2003,Portland,1628.56,146,8965
"9,011,299,102,000",2000,Franklin,2506.81,46,1835
"9,011,662,102,003",2003,Salem,684.24,27,3946
"9,013,253,602,003",2003,Ellington,765.03,105,13725
