"CT County Subdivisions,Year",Year,Town,Total property crime Rate,"Crime, Total property crime, Number","Total estimated population, Number"
"9,003,870,002,004",2004,Windsor,2219.89,634,28560
"9,001,683,102,006",2006,Sherman,217.45,8,3679
"9,001,505,801,998",1998,New Canaan,1201.34,233,19395
"9,001,683,102,010",2010,Sherman,642.28,23,3581
"9,009,520,702,000",2000,New Haven,6517.24,8057,123626
"9,001,835,002,007",2007,Westport,1351.25,354,26198
"9,003,504,402,010",2010,New Britain,4169.06,3052,73206
"9,003,312,402,009",2009,Glastonbury,1106.17,378,34172
"9,003,371,402,003",2003,Hartland,783.16,16,2043
"9,003,870,702,004",2004,Windsor Locks,1995.91,244,12225
"9,003,689,402,006",2006,Simsbury,905.98,212,23400
"9,001,834,301,998",1998,Weston,886.72,89,10037
"9,003,713,902,010",2010,South Windsor,1586.99,408,25709
"9,001,508,601,998",1998,New Fairfield,379.85,53,13953
"9,003,849,002,007",2007,Wethersfield,2203.47,585,26549
"9,009,520,702,010",2010,New Haven,5610.31,7281,129779
"9,005,322,902,009",2009,Goshen,542.74,16,2948
"9,009,696,402,010",2010,Southbury,1085.21,216,19904
"9,005,513,502,000",2000,New Hartford,1100.53,67,6088
"9,013,692,202,006",2006,Somers,534.76,59,11033
"9,003,326,402,009",2009,Granby,1233.35,138,11189
"9,009,877,002,004",2004,Woodbridge,1335.41,120,8986
"9,009,875,602,004",2004,Wolcott,1601.16,253,15801
"9,005,513,501,998",1998,New Hartford,1445.47,88,6088
"9,003,825,902,009",2009,West Hartford,2687.2,1701,63300
"9,003,705,502,010",2010,Southington,1708.89,736,43069
"9,001,863,702,007",2007,Wilton,680.31,122,17933
"9,003,713,902,006",2006,South Windsor,1679.24,423,25190
"9,011,342,501,999",1999,Groton,2385.55,952,39907
"9,013,859,502,007",2007,Willington,1080.45,65,6016
"9,005,879,102,004",2004,Woodbury,799.24,76,9509
"9,005,804,902,009",2009,Watertown,1663.03,373,22429
"9,005,513,502,010",2010,New Hartford,559.54,39,6970
"9,001,336,202,009",2009,Greenwich,904.13,553,61164
"9,009,520,701,998",1998,New Haven,9022.37,11154,123626
"9,005,864,402,007",2007,Winchester,2177.25,241,11069
"9,009,475,352,002",2002,Milford,3721.66,1950,52396
"9,011,339,002,009",2009,Griswold,920.84,109,11837
"9,011,716,702,010",2010,Sprague,904.83,27,2984
"9,015,881,902,004",2004,Woodstock,505.45,38,7518
"9,009,696,402,006",2006,Southbury,846.71,164,19369
"9,009,828,702,009",2009,West Haven,2773.15,1532,55244
"9,007,816,802,009",2009,Westbrook,1105.78,76,6873
"9,013,720,902,010",2010,Stafford,579.13,70,12087
"9,015,867,902,007",2007,Windham,545.94,134,24545
"9,011,523,501,998",1998,New London,5091.35,1307,25671
"9,011,342,502,009",2009,Groton,1850.65,742,40094
"9,013,010,802,005",2005,Andover,,,3170
"9,003,705,502,006",2006,Southington,1888.19,788,41733
"9,011,523,502,010",2010,New London,3294.71,910,27620
"9,001,834,302,009",2009,Weston,600.1,61,10165
"9,001,508,602,000",2000,New Fairfield,437.18,61,13953
"9,003,870,002,007",2007,Windsor,2058.88,593,28802
"9,011,716,702,006",2006,Sprague,872.78,26,2979
"9,005,526,301,998",1998,New Milford,1836.22,498,27121
"9,001,730,702,010",2010,Stamford,1613.63,1979,122643
"9,009,012,202,005",2005,Ansonia,,,18902
"9,013,859,502,009",2009,Willington,580.14,35,6033
"9,005,526,302,010",2010,New Milford,1417.81,399,28142
"9,009,349,502,009",2009,Guilford,1669.88,372,22277
"9,007,473,602,002",2002,Middletown,2396.57,1056,44063
"9,003,870,702,007",2007,Windsor Locks,1690.66,209,12362
"9,013,720,902,006",2006,Stafford,679.41,80,11775
"9,007,407,102,002",2002,Killingworth,571.99,35,6119
"9,015,734,202,010",2010,Sterling,939.95,36,3830
"9,003,521,401,998",1998,Newington,3156.35,925,29306
"9,001,863,702,009",2009,Wilton,577.17,104,18019
"9,003,276,002,002",2002,Farmington,2339.35,561,23981
"9,007,352,302,009",2009,Haddam,522.67,43,8227
"9,011,737,702,010",2010,Stonington,1434.35,266,18545
"9,015,014,302,005",2005,Ashford,,,4208
"9,001,730,702,006",2006,Stamford,1929.93,2324,120419
"9,007,470,802,002",2002,Middlefield,1224.39,52,4247
"9,003,020,602,005",2005,Avon,,,16965
