"CT County Subdivisions,Year",Year,Town,Juvenile arrests Rate,"Juvenile arrests, Total arrests, 10 to 17 years, Number","Total population, 10 to 17 years, Number"
"9,009,520,702,007",2007,New Haven,14188.19,1829,12891
"9,015,758,702,005",2005,Thompson,,,
"9,007,262,702,009",2009,Essex,854.7,6,702
"9,009,576,002,001",2001,Orange,,,
"9,001,266,202,009",2009,Fairfield,1252.88,87,6944
"9,009,465,202,010",2010,Meriden,8411.63,564,6705
"9,011,555,002,000",2000,North Stonington,,,
"9,011,523,502,007",2007,New London,9537.34,235,2464
"9,009,583,002,001",2001,Oxford,,,
"9,009,469,402,010",2010,Middlebury,317.12,3,946
"9,005,526,302,007",2007,New Milford,3578.82,121,3381
"9,013,762,902,005",2005,Tolland,,,
"9,003,276,002,009",2009,Farmington,7644.2,220,2878
"9,001,560,602,000",2000,Norwalk,,,
"9,015,599,802,001",2001,Plainfield,,,
"9,007,470,802,010",2010,Middlefield,723.33,4,553
"9,003,521,402,007",2007,Newington,5973.76,173,2896
"9,005,765,702,005",2005,Torrington,,,
"9,003,312,402,009",2009,Glastonbury,2402.08,111,4621
"9,011,562,702,000",2000,Norwich,,,
"9,003,601,202,001",2001,Plainville,,,
"9,007,473,602,010",2010,Middletown,1768.61,72,4071
"9,001,529,802,007",2007,Newtown,2077.85,79,3802
"9,001,772,002,005",2005,Trumbull,,,
"9,003,326,402,009",2009,Granby,2356.02,36,1528
"9,007,573,202,000",2000,Old Saybrook,,,
"9,005,607,502,001",2001,Plymouth,,,
"9,009,475,352,010",2010,Milford,7622.89,397,5208
"9,005,534,702,007",2007,Norfolk,518.13,1,193
"9,013,782,502,005",2005,Vernon,,,
"9,001,336,202,009",2009,Greenwich,1520.03,118,7763
"9,009,583,002,000",2000,Oxford,,,
"9,009,787,402,005",2005,Wallingford,,,
"9,001,486,202,010",2010,Monroe,105.78,3,2836
"9,001,730,702,001",2001,Stamford,,,
"9,009,538,902,007",2007,North Branford,3141.99,52,1655
"9,011,339,002,009",2009,Griswold,1669.2,22,1318
"9,015,599,802,000",2000,Plainfield,,,
"9,009,800,702,005",2005,Waterbury,,,
"9,011,489,002,010",2010,Montville,2591.46,51,1968
"9,011,737,702,001",2001,Stonington,,,
"9,009,548,702,007",2007,North Haven,1230.3,32,2601
"9,011,342,502,009",2009,Groton,1768.83,58,3279
"9,003,601,202,000",2000,Plainville,,,
"9,011,802,802,005",2005,Waterford,,,
"9,005,494,602,010",2010,Morris,1498.13,4,267
"9,001,741,902,001",2001,Stratford,,,
"9,011,555,002,007",2007,North Stonington,6013.75,35,582
"9,009,349,502,009",2009,Guilford,3846.15,105,2730
"9,005,607,502,000",2000,Plymouth,,,
"9,005,804,902,005",2005,Watertown,,,
"9,009,499,502,010",2010,Naugatuck,5568.05,198,3556
"9,003,745,402,001",2001,Suffield,,,
"9,001,560,602,007",2007,Norwalk,5910.56,456,7715
"9,007,352,302,009",2009,Haddam,1698.51,16,942
"9,007,618,002,000",2000,Portland,,,
"9,003,825,902,005",2005,West Hartford,,,
"9,003,504,402,010",2010,New Britain,7632.25,567,7429
"9,005,757,302,001",2001,Thomaston,,,
"9,011,562,702,007",2007,Norwich,8222.22,333,4050
"9,009,356,502,009",2009,Hamden,4345.41,235,5408
"9,009,622,902,000",2000,Prospect,,,
"9,009,828,702,005",2005,West Haven,,,
"9,001,505,802,010",2010,New Canaan,384.16,13,3384
"9,015,758,702,001",2001,Thompson,,,
"9,011,570,402,007",2007,Old Lyme,1777.25,15,844
"9,003,370,702,009",2009,Hartford,11678.78,1687,14445
"9,015,627,102,000",2000,Putnam,,,
"9,001,834,302,005",2005,Weston,,,
"9,001,508,602,010",2010,New Fairfield,1761.07,37,2101
"9,013,762,902,001",2001,Tolland,,,
"9,007,573,202,007",2007,Old Saybrook,2728.13,29,1063
"9,013,379,102,009",2009,Hebron,771.39,11,1426
"9,001,639,702,000",2000,Ridgefield,,,
"9,001,835,002,005",2005,Westport,,,
"9,005,513,502,010",2010,New Hartford,1334.95,11,824
"9,005,765,702,001",2001,Torrington,,,
"9,009,576,002,007",2007,Orange,3920.42,67,1709
"9,015,405,002,009",2009,Killingly,3382.43,62,1833
"9,003,653,702,000",2000,Rocky Hill,,,
"9,003,849,002,005",2005,Wethersfield,,,
"9,009,520,702,010",2010,New Haven,8196.07,1030,12567
"9,001,772,002,001",2001,Trumbull,,,
"9,009,583,002,007",2007,Oxford,1358.11,19,1399
"9,011,423,902,009",2009,Lebanon,751.07,7,932
"9,005,664,202,000",2000,Salisbury,,,
"9,011,523,502,010",2010,New London,6780.35,167,2463
"9,015,599,802,007",2007,Plainfield,4865.77,87,1788
"9,005,765,702,002",2002,Torrington,,,
"9,013,782,502,001",2001,Vernon,,,
"9,005,757,301,998",1998,Thomaston,,,
"9,003,043,002,004",2004,Berlin,1772.73,39,2200
"9,011,426,002,009",2009,Ledyard,1495.73,28,1872
"9,007,618,002,006",2006,Portland,3710.94,38,1024
"9,001,238,901,999",1999,Easton,,,
"9,013,062,602,009",2009,Bolton,950.87,6,631
"9,001,772,002,002",2002,Trumbull,,,
"9,009,875,602,004",2004,Wolcott,4376.93,85,1942
"9,009,787,402,001",2001,Wallingford,,,
"9,013,720,901,999",1999,Stafford,,,
"9,015,674,002,009",2009,Scotland,476.19,1,210
"9,001,047,202,004",2004,Bethel,2603.23,58,2228
"9,015,758,701,998",1998,Thompson,,,
"9,011,621,502,006",2006,Preston,591.72,3,507
"9,003,371,402,008",2008,Hartland,2202.64,5,227
"9,015,867,902,010",2010,Windham,7278.21,169,2322
"9,001,730,701,999",1999,Stamford,,,
"9,009,877,002,004",2004,Woodbridge,2327.45,29,1246
"9,009,800,702,001",2001,Waterbury,,,
"9,015,610,302,007",2007,Pomfret,722.02,4,554
"9,011,432,302,006",2006,Lisbon,6629.83,36,543
"9,013,782,502,002",2002,Vernon,,,
"9,003,447,002,009",2009,Manchester,16347.05,878,5371
"9,009,622,902,006",2006,Prospect,1036.76,11,1061
"9,013,762,901,998",1998,Tolland,,,
"9,005,864,402,010",2010,Winchester,6834.53,76,1112
"9,009,787,402,002",2002,Wallingford,,,
"9,005,049,302,004",2004,Bethlehem,683.37,3,439
"9,011,737,701,999",1999,Stonington,,,
"9,011,068,202,009",2009,Bozrah,1418.44,4,282
"9,015,881,902,004",2004,Woodstock,2330.29,23,987
"9,013,778,302,000",2000,Union,,,
"9,011,802,802,001",2001,Waterford,,,
"9,005,879,102,004",2004,Woodbury,2443.61,26,1064
"9,005,160,502,010",2010,Colebrook,0,0,182
"9,005,765,701,998",1998,Torrington,,,
"9,011,299,102,004",2004,Franklin,2242.15,5,223
"9,005,804,902,001",2001,Watertown,,,
"9,003,059,102,004",2004,Bloomfield,11513.32,229,1989
"9,001,741,901,999",1999,Stratford,,,
"9,005,797,202,002",2002,Washington,,,
"9,011,442,102,006",2006,Lyme,0,0,223
"9,013,062,602,004",2004,Bolton,2037.62,13,638
"9,015,405,002,008",2008,Killingly,4854.37,90,1854
"9,011,570,402,005",2005,Old Lyme,,,
