"CT County Subdivisions,Year",Year,Town,Total violent crime Rate,"Crime, Total violent crime, Number","Total estimated population, Number"
"9,009,520,702,000",2000,New Haven,1384.82,1712,123626
"9,001,835,002,007",2007,Westport,64.89,17,26198
"9,003,504,402,010",2010,New Britain,420.73,308,73206
"9,003,312,402,009",2009,Glastonbury,64.38,22,34172
"9,003,371,402,003",2003,Hartland,0,0,2043
"9,003,870,702,004",2004,Windsor Locks,106.34,13,12225
"9,003,689,402,006",2006,Simsbury,25.64,6,23400
"9,001,834,301,998",1998,Weston,9.96,1,10037
"9,003,713,902,010",2010,South Windsor,15.56,4,25709
"9,001,508,601,998",1998,New Fairfield,143.34,20,13953
"9,003,849,002,007",2007,Wethersfield,113,30,26549
"9,009,520,702,010",2010,New Haven,1532.61,1989,129779
"9,005,322,902,009",2009,Goshen,0,0,2948
"9,009,696,402,010",2010,Southbury,10.05,2,19904
"9,005,513,502,000",2000,New Hartford,65.7,4,6088
"9,013,692,202,006",2006,Somers,54.38,6,11033
"9,003,326,402,009",2009,Granby,26.81,3,11189
"9,009,877,002,004",2004,Woodbridge,77.9,7,8986
"9,009,875,602,004",2004,Wolcott,37.97,6,15801
"9,005,513,501,998",1998,New Hartford,65.7,4,6088
"9,003,825,902,009",2009,West Hartford,132.7,84,63300
"9,003,705,502,010",2010,Southington,60.37,26,43069
"9,001,863,702,007",2007,Wilton,61.34,11,17933
"9,003,713,902,006",2006,South Windsor,119.09,30,25190
"9,011,342,501,999",1999,Groton,233.04,93,39907
"9,013,859,502,007",2007,Willington,33.24,2,6016
"9,005,879,102,004",2004,Woodbury,31.55,3,9509
"9,005,804,902,009",2009,Watertown,156.05,35,22429
"9,005,513,502,010",2010,New Hartford,14.35,1,6970
"9,001,336,202,009",2009,Greenwich,39.24,24,61164
"9,009,520,701,998",1998,New Haven,1699.48,2101,123626
"9,005,864,402,007",2007,Winchester,126.48,14,11069
"9,009,475,352,002",2002,Milford,146.96,77,52396
"9,011,339,002,009",2009,Griswold,135.17,16,11837
"9,011,716,702,010",2010,Sprague,201.07,6,2984
"9,015,881,902,004",2004,Woodstock,26.6,2,7518
"9,009,696,402,006",2006,Southbury,61.95,12,19369
"9,009,828,702,009",2009,West Haven,687.86,380,55244
"9,007,816,802,009",2009,Westbrook,29.1,2,6873
"9,013,720,902,010",2010,Stafford,99.28,12,12087
"9,015,867,902,007",2007,Windham,16.3,4,24545
"9,011,523,501,998",1998,New London,794.67,204,25671
"9,011,342,502,009",2009,Groton,147.15,59,40094
"9,013,010,802,005",2005,Andover,,,3170
"9,003,705,502,006",2006,Southington,69.49,29,41733
"9,011,523,502,010",2010,New London,1031.86,285,27620
"9,001,834,302,009",2009,Weston,19.68,2,10165
"9,001,508,602,000",2000,New Fairfield,93.17,13,13953
"9,003,870,002,007",2007,Windsor,86.8,25,28802
"9,011,716,702,006",2006,Sprague,234.98,7,2979
"9,005,526,301,998",1998,New Milford,158.55,43,27121
"9,001,730,702,010",2010,Stamford,285.38,350,122643
"9,009,012,202,005",2005,Ansonia,,,18902
"9,013,859,502,009",2009,Willington,33.15,2,6033
"9,005,526,302,010",2010,New Milford,63.96,18,28142
"9,009,349,502,009",2009,Guilford,89.78,20,22277
"9,007,473,602,002",2002,Middletown,115.74,51,44063
"9,003,870,702,007",2007,Windsor Locks,153.7,19,12362
"9,013,720,902,006",2006,Stafford,93.42,11,11775
"9,007,407,102,002",2002,Killingworth,98.06,6,6119
"9,015,734,202,010",2010,Sterling,78.33,3,3830
"9,003,521,401,998",1998,Newington,105.78,31,29306
"9,001,863,702,009",2009,Wilton,16.65,3,18019
"9,003,276,002,002",2002,Farmington,66.72,16,23981
"9,007,352,302,009",2009,Haddam,12.16,1,8227
"9,011,737,702,010",2010,Stonington,43.14,8,18545
"9,015,014,302,005",2005,Ashford,,,4208
"9,001,730,702,006",2006,Stamford,328.02,395,120419
"9,007,470,802,002",2002,Middlefield,70.64,3,4247
"9,003,020,602,005",2005,Avon,,,16965
"9,009,875,602,007",2007,Wolcott,24.63,4,16241
"9,001,529,801,998",1998,Newtown,47.94,12,25031
"9,009,356,502,009",2009,Hamden,161.84,98,60555
"9,001,741,902,010",2010,Stratford,288.03,148,51384
"9,009,877,002,007",2007,Woodbridge,22.25,2,8988
"9,003,689,402,000",2000,Simsbury,25.82,6,23234
"9,001,505,802,000",2000,New Canaan,20.62,4,19395
"9,005,027,602,005",2005,Barkhamsted,,,3647
"9,015,734,202,006",2006,Sterling,0,0,3538
"9,015,405,002,002",2002,Killingly,624.55,104,16652
"9,015,360,002,009",2009,Hampton,0,0,1853
"9,005,534,701,998",1998,Norfolk,60.24,1,1660
"9,005,879,102,007",2007,Woodbury,20.53,2,9742
"9,011,737,702,006",2006,Stonington,38.27,7,18289
"9,003,504,402,000",2000,New Britain,508.82,364,71538
"9,003,745,402,010",2010,Suffield,12.71,2,15735
"9,009,032,502,005",2005,Beacon Falls,,,5648
"9,003,849,002,009",2009,Wethersfield,75.11,20,26628
"9,011,159,101,999",1999,Colchester,164.94,24,14551
"9,003,370,702,009",2009,Hartford,1288.02,1603,124455
"9,005,757,302,010",2010,Thomaston,25.36,2,7887
"9,015,881,902,007",2007,Woodstock,51.67,4,7741
"9,009,538,901,998",1998,North Branford,43.15,6,13906
"9,003,371,402,009",2009,Hartland,0,0,2104
"9,003,043,002,005",2005,Berlin,,,19041
"9,001,741,902,006",2006,Stratford,192.83,98,50821
"9,005,864,402,009",2009,Winchester,205.65,23,11184
"9,001,835,002,009",2009,Westport,87.36,23,26327
"9,011,339,001,999",1999,Griswold,333.12,36,10807
"9,013,010,802,008",2008,Andover,92.31,3,3250
"9,003,745,402,006",2006,Suffield,80.74,12,14862
"9,005,540,301,998",1998,North Canaan,208.96,7,3350
"9,015,758,702,010",2010,Thompson,63.44,6,9458
"9,009,045,802,005",2005,Bethany,,,5302
"9,009,875,602,009",2009,Wolcott,30.24,5,16534
"9,015,867,902,009",2009,Windham,39.96,10,25027
"9,005,372,802,009",2009,Harwinton,71.35,4,5606
"9,013,762,902,010",2010,Tolland,13.29,2,15052
"9,009,012,202,008",2008,Ansonia,136.05,26,19110
"9,005,757,302,006",2006,Thomaston,38.79,3,7733
"9,013,379,102,009",2009,Hebron,20.88,2,9578
"9,009,548,701,998",1998,North Haven,95.51,22,23035
"9,009,877,002,009",2009,Woodbridge,100.12,9,8989
"9,005,402,902,002",2002,Kent,104.09,3,2882
"9,003,870,702,009",2009,Windsor Locks,88.33,11,12453
"9,005,765,702,010",2010,Torrington,131.93,48,36383
"9,001,047,202,005",2005,Bethel,,,18326
"9,003,370,702,003",2003,Hartford,1477.92,1811,122537
"9,005,402,902,009",2009,Kent,33.7,1,2967
"9,001,336,201,999",1999,Greenwich,104.74,64,61101
"9,015,758,702,006",2006,Thompson,86.71,8,9226
"9,011,555,001,998",1998,North Stonington,220.4,11,4991
"9,011,555,002,010",2010,North Stonington,56.64,3,5297
"9,005,049,302,005",2005,Bethlehem,,,3515
"9,009,499,502,000",2000,Naugatuck,167.8,52,30989
"9,015,014,302,008",2008,Ashford,46.81,2,4273
"9,003,059,102,005",2005,Bloomfield,,,20037
"9,009,538,902,000",2000,North Branford,71.91,10,13906
"9,011,562,702,010",2010,Norwich,355.62,144,40493
"9,015,405,002,009",2009,Killingly,86.81,15,17280
"9,001,560,601,998",1998,Norwalk,235.08,195,82951
"9,005,027,602,008",2008,Barkhamsted,53.5,2,3738
"9,005,765,702,006",2006,Torrington,336.94,121,35911
"9,013,762,902,006",2006,Tolland,41.99,6,14290
"9,003,020,602,008",2008,Avon,17,3,17645
"9,001,772,002,010",2010,Trumbull,58.3,21,36018
"9,013,062,602,005",2005,Bolton,,,4999
"9,005,540,302,010",2010,North Canaan,120.66,4,3315
"9,003,870,002,009",2009,Windsor,55.24,16,28963
"9,007,407,102,009",2009,Killingworth,0,0,6474
"9,009,032,502,008",2008,Beacon Falls,33.97,2,5888
"9,011,562,701,998",1998,Norwich,407.01,147,36117
"9,011,423,902,009",2009,Lebanon,27.52,2,7268
"9,013,778,302,010",2010,Union,0,0,854
"9,009,469,402,002",2002,Middlebury,14.98,1,6676
"9,005,797,202,003",2003,Washington,83.54,3,3591
"9,005,879,102,009",2009,Woodbury,30.31,3,9897
"9,015,881,902,009",2009,Woodstock,25.35,2,7890
"9,011,068,202,005",2005,Bozrah,,,2492
"9,013,778,302,006",2006,Union,0,0,790
