"CT County Subdivisions,Year",Year,Town,Total violent crime Rate,"Crime, Total violent crime, Number","Total estimated population, Number"
"9,015,091,901,998",1998,Brooklyn,334.59,24,7173
"9,009,548,702,009",2009,North Haven,50.03,12,23987
"9,009,229,102,005",2005,East Haven,,,28723
"9,011,562,702,008",2008,Norwich,441.72,175,39618
"9,009,356,501,999",1999,Hamden,144.08,82,56913
"9,011,562,702,000",2000,Norwich,412.55,149,36117
"9,011,570,402,008",2008,Old Lyme,13.22,1,7564
"9,011,555,002,009",2009,North Stonington,75.96,4,5266
"9,003,101,001,998",1998,Burlington,61.05,5,8190
"9,003,043,002,007",2007,Berlin,77.44,15,19371
"9,001,560,602,009",2009,Norwalk,499.19,426,85338
"9,003,447,002,003",2003,Manchester,1034.24,577,55790
"9,011,234,002,005",2005,East Lyme,,,18639
"9,009,045,802,007",2007,Bethany,18.5,1,5406
"9,007,573,202,008",2008,Old Saybrook,38.96,4,10267
"9,005,027,602,007",2007,Barkhamsted,26.97,1,3708
"9,003,248,002,005",2005,East Windsor,,,10490
"9,005,109,401,998",1998,Canaan,185.01,2,1081
"9,011,562,702,009",2009,Norwich,406.94,163,40055
"9,001,047,202,007",2007,Bethel,37.98,7,18429
"9,009,576,002,008",2008,Orange,28.96,4,13811
"9,009,828,702,000",2000,West Haven,141.33,74,52360
"9,011,570,402,009",2009,Old Lyme,13.19,1,7583
"9,015,121,301,998",1998,Canterbury,149.19,7,4692
"9,015,218,602,005",2005,Eastford,,,1684
"9,005,049,302,007",2007,Bethlehem,0,0,3552
"9,003,713,902,003",2003,South Windsor,52.42,13,24801
"9,007,352,301,999",1999,Haddam,83.83,6,7157
"9,001,238,902,005",2005,Easton,,,7381
"9,001,634,802,000",2000,Redding,24.18,2,8270
"9,009,583,002,008",2008,Oxford,33.03,4,12111
"9,003,122,701,998",1998,Canton,90.5,8,8840
"9,015,599,802,008",2008,Plainfield,85.26,13,15248
"9,007,573,202,009",2009,Old Saybrook,58.51,6,10255
"9,013,253,602,005",2005,Ellington,,,14262
"9,003,059,102,007",2007,Bloomfield,281.95,57,20216
"9,013,778,302,003",2003,Union,134.95,1,741
"9,009,576,002,009",2009,Orange,64.82,9,13884
"9,009,800,702,003",2003,Waterbury,444.55,481,108200
"9,013,062,602,007",2007,Bolton,0,0,4991
"9,015,138,101,998",1998,Chaplin,444.44,10,2250
"9,003,259,902,005",2005,Enfield,,,44933
"9,003,601,202,008",2008,Plainville,96.38,17,17638
"9,011,068,202,007",2007,Bozrah,39.28,1,2546
"9,005,607,502,008",2008,Plymouth,90.75,11,12121
"9,009,583,002,009",2009,Oxford,0,0,12397
"9,009,141,601,998",1998,Cheshire,35.03,10,28543
"9,015,599,802,009",2009,Plainfield,52.2,8,15326
"9,007,262,702,005",2005,Essex,,,6594
"9,009,073,102,007",2007,Branford,109.84,31,28223
"9,013,778,302,002",2002,Union,137.93,1,725
"9,001,266,202,005",2005,Fairfield,,,58372
"9,007,143,001,998",1998,Chester,133.58,5,3743
"9,015,610,302,008",2008,Pomfret,48.11,2,4157
"9,003,020,601,999",1999,Avon,37.9,6,15832
"9,001,080,702,007",2007,Bridgeport,1108.4,1583,142819
"9,007,618,002,008",2008,Portland,64.15,6,9353
"9,003,601,202,009",2009,Plainville,67.88,12,17677
"9,005,607,502,009",2009,Plymouth,41.04,5,12182
"9,003,312,402,001",2001,Glastonbury,28.01,9,32131
"9,005,372,802,000",2000,Harwinton,37.86,2,5283
"9,009,356,502,003",2003,Hamden,135.91,79,58127
"9,003,276,002,005",2005,Farmington,,,24491
"9,003,371,402,010",2010,Hartland,0,0,2114
"9,011,786,002,000",2000,Voluntown,237.34,6,2528
"9,005,804,901,999",1999,Watertown,18.47,4,21661
"9,011,299,102,001",2001,Franklin,271.15,5,1844
"9,003,122,702,002",2002,Canton,43.81,4,9130
"9,011,299,102,005",2005,Franklin,,,1879
"9,005,322,901,999",1999,Goshen,37.08,1,2697
"9,011,802,801,999",1999,Waterford,161.86,31,19152
"9,003,312,402,003",2003,Glastonbury,30.64,10,32641
"9,007,470,801,999",1999,Middlefield,166.55,7,4203
"9,001,683,102,002",2002,Sherman,26.47,1,3778
"9,003,371,402,000",2000,Hartland,49.7,1,2012
"9,005,372,802,010",2010,Harwinton,35.45,2,5642
"9,003,276,002,001",2001,Farmington,104.99,25,23811
"9,005,322,902,005",2005,Goshen,,,2837
"9,015,121,302,002",2002,Canterbury,209.21,10,4780
"9,009,800,701,999",1999,Waterbury,545.35,585,107271
"9,007,352,302,003",2003,Haddam,39.93,3,7514
"9,009,469,401,999",1999,Middlebury,31,2,6451
"9,013,379,102,010",2010,Hebron,0,0,9686
"9,015,218,601,999",1999,Eastford,0,0,1618
"9,003,326,402,005",2005,Granby,,,10815
"9,005,109,402,002",2002,Canaan,89.93,1,1112
"9,001,266,202,001",2001,Fairfield,46.92,27,57546
"9,005,797,201,999",1999,Washington,27.81,1,3596
"9,003,312,402,005",2005,Glastonbury,,,33152
"9,015,405,002,010",2010,Killingly,132.41,23,17370
"9,005,402,902,010",2010,Kent,0,0,2979
"9,001,336,202,005",2005,Greenwich,,,61136
"9,001,681,702,002",2002,Shelton,52.09,20,38393
"9,005,795,101,999",1999,Warren,239.23,3,1254
"9,003,101,002,002",2002,Burlington,166.43,14,8412
"9,015,674,002,000",2000,Scotland,128.53,2,1556
"9,013,782,502,000",2000,Vernon,96.21,27,28063
"9,007,262,702,001",2001,Essex,76.65,5,6523
"9,009,465,201,999",1999,Meriden,604.35,352,58244
"9,009,787,401,999",1999,Wallingford,141.77,61,43026
"9,011,339,002,005",2005,Griswold,,,11379
"9,011,342,502,005",2005,Groton,,,40011
"9,003,259,902,001",2001,Enfield,186.02,84,45156
"9,007,407,102,010",2010,Killingworth,30.65,2,6525
"9,009,349,502,005",2005,Guilford,,,21887
"9,009,349,502,003",2003,Guilford,138.31,30,21691
"9,011,786,001,999",1999,Voluntown,237.34,6,2528
"9,011,426,002,010",2010,Ledyard,59.8,9,15051
"9,003,458,201,999",1999,Marlborough,52.55,3,5709
"9,003,370,702,000",2000,Hartford,1225.55,1490,121578
"9,003,248,001,999",1999,East Windsor,234.26,23,9818
"9,013,253,602,001",2001,Ellington,128.9,17,13189
"9,013,782,501,999",1999,Vernon,103.34,29,28063
"9,007,352,302,005",2005,Haddam,,,7752
"9,001,238,902,001",2001,Easton,27.42,2,7294
"9,015,091,902,002",2002,Brooklyn,230.35,17,7380
"9,001,089,802,002",2002,Brookfield,101.13,16,15822
"9,011,432,302,010",2010,Lisbon,115.26,5,4338
"9,011,423,902,010",2010,Lebanon,0,0,7308
"9,009,356,502,005",2005,Hamden,,,58937
"9,003,705,502,000",2000,Southington,45.31,18,39728
"9,015,218,602,001",2001,Eastford,61.31,1,1631
"9,013,778,301,999",1999,Union,144.3,1,693
"9,005,433,702,010",2010,Litchfield,23.62,2,8466
"9,011,159,102,000",2000,Colchester,137.45,20,14551
"9,005,679,602,002",2002,Sharon,0,0,2931
"9,013,449,101,999",1999,Mansfield,159.27,33,20720
"9,015,360,002,005",2005,Hampton,,,1811
"9,003,084,902,002",2002,Bristol,184.55,111,60145
"9,011,342,502,003",2003,Groton,187.65,75,39969
"9,003,248,002,001",2001,East Windsor,331.59,33,9952
"9,011,442,102,010",2010,Lyme,41.56,1,2406
"9,001,772,001,999",1999,Trumbull,52.57,18,34243
"9,003,370,702,005",2005,Hartford,,,123177
"9,013,778,302,000",2000,Union,144.3,1,693
"9,011,234,002,001",2001,East Lyme,186.59,34,18222
"9,009,445,602,010",2010,Madison,98.53,18,18269
"9,011,339,002,003",2003,Griswold,62.78,7,11150
"9,005,765,701,999",1999,Torrington,150.56,53,35202
"9,003,371,402,005",2005,Hartland,,,2063
"9,005,082,102,002",2002,Bridgewater,55.4,1,1805
"9,011,299,102,003",2003,Franklin,53.73,1,1861
"9,003,447,002,010",2010,Manchester,224.93,131,58241
"9,009,229,102,001",2001,East Haven,250.92,71,28296
"9,015,360,002,000",2000,Hampton,113.77,2,1758
"9,005,372,802,005",2005,Harwinton,,,5463
"9,013,762,901,999",1999,Tolland,76.07,10,13146
"9,003,312,401,999",1999,Glastonbury,47.06,15,31876
"9,001,080,702,002",2002,Bridgeport,1206.67,1695,140469
"9,013,379,102,005",2005,Hebron,,,9148
"9,013,449,102,010",2010,Mansfield,60.28,16,26543
"9,011,234,001,999",1999,East Lyme,231.81,42,18118
"9,003,447,001,999",1999,Manchester,275.85,151,54740
"9,003,458,202,010",2010,Marlborough,31.23,2,6404
"9,009,676,102,002",2002,Seymour,197.82,31,15671
"9,003,226,302,001",2001,East Hartford,536.76,267,49743
"9,015,758,701,999",1999,Thompson,315.39,28,8878
"9,001,683,102,000",2000,Sherman,78.39,3,3827
"9,001,683,102,003",2003,Sherman,26.65,1,3753
"9,005,402,902,005",2005,Kent,,,2919
"9,007,224,902,001",2001,East Hampton,45.07,6,13313
"9,005,757,301,999",1999,Thomaston,53.31,4,7503
"9,009,465,202,010",2010,Meriden,236.58,144,60868
"9,009,073,102,002",2002,Branford,115.58,33,28552
"9,007,222,802,001",2001,East Haddam,130.77,11,8412
"9,015,405,002,005",2005,Killingly,,,16921
"9,001,336,202,003",2003,Greenwich,68.72,42,61122
"9,015,674,002,002",2002,Scotland,62.89,1,1590
"9,007,407,102,005",2005,Killingworth,,,6272
"9,003,745,401,999",1999,Suffield,44.27,6,13552
"9,011,068,202,002",2002,Bozrah,290.34,7,2411
"9,005,679,602,000",2000,Sharon,101.08,3,2968
"9,011,423,902,005",2005,Lebanon,,,7108
"9,001,772,002,000",2000,Trumbull,81.77,28,34243
"9,009,445,601,999",1999,Madison,39.2,7,17858
"9,015,014,301,999",1999,Ashford,146.41,6,4098
"9,011,299,101,999",1999,Franklin,163.49,3,1835
"9,003,220,702,001",2001,East Granby,188.09,9,4785
"9,005,664,202,002",2002,Salisbury,0,0,3930
"9,001,741,901,999",1999,Stratford,182.09,91,49976
"9,003,059,102,002",2002,Bloomfield,632.37,125,19767
"9,013,062,602,002",2002,Bolton,139.72,7,5010
"9,011,737,701,999",1999,Stonington,94.94,17,17906
"9,003,276,002,003",2003,Farmington,62.11,15,24151
"9,007,208,102,001",2001,Durham,74.59,5,6703
"9,007,153,502,000",2000,Clinton,91.65,12,13094
"9,011,432,302,005",2005,Lisbon,,,4204
"9,005,049,302,002",2002,Bethlehem,57.82,2,3459
"9,009,469,402,010",2010,Middlebury,26.4,2,7575
"9,011,426,002,005",2005,Ledyard,,,14869
"9,011,442,101,999",1999,Lyme,0,0,2016
"9,003,326,402,003",2003,Granby,47.05,5,10628
"9,015,734,201,999",1999,Sterling,225.88,7,3099
"9,001,266,202,003",2003,Fairfield,69.01,40,57959
"9,009,195,502,001",2001,Derby,176.82,22,12442
"9,011,442,102,005",2005,Lyme,,,2211
"9,001,047,202,002",2002,Bethel,44.03,8,18170
"9,009,229,101,999",1999,East Haven,315.73,89,28189
"9,001,730,701,999",1999,Stamford,318.58,373,117083
"9,007,180,801,999",1999,Cromwell,69.92,9,12871
"9,011,662,102,002",2002,Salem,178.71,7,3917
"9,009,445,602,005",2005,Madison,,,18064
"9,009,045,802,002",2002,Bethany,77.75,4,5145
"9,007,191,302,001",2001,Deep River,368.6,17,4612
"9,005,433,702,005",2005,Litchfield,,,8391
"9,005,433,701,999",1999,Litchfield,168.35,14,8316
"9,013,720,901,999",1999,Stafford,238.79,27,11307
"9,001,188,502,001",2001,Darien,20.28,4,19720
"9,003,043,002,002",2002,Berlin,107.85,20,18545
"9,009,012,201,999",1999,Ansonia,317.99,59,18554
"9,005,765,702,000",2000,Torrington,346.57,122,35202
"9,009,032,502,002",2002,Beacon Falls,295.91,16,5407
"9,001,185,001,999",1999,Danbury,149.64,112,74848
"9,009,696,402,000",2000,Southbury,140.03,26,18567
"9,013,449,102,005",2005,Mansfield,,,23632
"9,009,356,502,000",2000,Hamden,145.84,83,56913
"9,011,716,701,999",1999,Sprague,235.61,7,2971
"9,001,185,002,001",2001,Danbury,190.85,144,75453
"9,003,458,202,005",2005,Marlborough,,,6057
"9,005,027,602,002",2002,Barkhamsted,56.26,2,3555
"9,007,262,702,003",2003,Essex,45.75,3,6558
"9,005,659,302,002",2002,Roxbury,92.55,2,2161
"9,007,180,802,001",2001,Cromwell,69.32,9,12984
"9,009,465,202,005",2005,Meriden,,,59556
"9,005,322,902,003",2003,Goshen,0,0,2781
"9,003,705,501,999",1999,Southington,60.41,24,39728
"9,003,447,002,005",2005,Manchester,,,56491
"9,011,432,301,999",1999,Lisbon,122.88,5,4069
"9,003,020,602,002",2002,Avon,18.42,3,16285
"9,013,010,801,999",1999,Andover,263.5,8,3036
"9,003,276,001,999",1999,Farmington,50.76,12,23641
"9,009,469,402,005",2005,Middlebury,,,7013
"9,003,259,902,003",2003,Enfield,124.32,56,45045
"9,013,762,902,000",2000,Tolland,76.07,10,13146
"9,007,352,302,000",2000,Haddam,139.72,10,7157
"9,009,696,401,999",1999,Southbury,145.42,27,18567
"9,013,178,002,001",2001,Coventry,103.48,12,11597
"9,003,653,702,002",2002,Rocky Hill,103.74,19,18315
"9,011,426,001,999",1999,Ledyard,177.03,26,14687
"9,009,012,202,002",2002,Ansonia,192.59,36,18693
"9,015,014,302,002",2002,Ashford,144.86,6,4142
"9,005,172,402,001",2001,Cornwall,139.57,2,1433
"9,003,689,401,999",1999,Simsbury,90.38,21,23234
"9,007,470,802,005",2005,Middlefield,,,4314
"9,001,266,201,999",1999,Fairfield,55.81,32,57340
"9,013,178,001,999",1999,Coventry,156.47,18,11504
"9,003,713,901,999",1999,South Windsor,61.45,15,24412
"9,011,423,901,999",1999,Lebanon,72.39,5,6907
"9,009,475,352,005",2005,Milford,,,52532
"9,013,010,802,002",2002,Andover,161.86,5,3089
"9,013,164,002,001",2001,Columbia,159.3,8,5022
"9,007,407,101,999",1999,Killingworth,33.23,2,6018
"92,001",2001,Connecticut,338.88,11598,3422418
"9,001,486,202,005",2005,Monroe,,,19363
"9,015,881,902,001",2001,Woodstock,82.25,6,7295
"9,003,226,301,999",1999,East Hartford,324.76,161,49575
"9,013,692,201,999",1999,Somers,163.19,17,10417
"9,007,473,602,005",2005,Middletown,,,45408
"9,001,834,302,003",2003,Weston,39.68,4,10080
"9,003,601,201,998",1998,Plainville,150.05,26,17328
"9,005,082,102,007",2007,Bridgewater,0,0,1756
"9,015,610,302,009",2009,Pomfret,47.6,2,4202
"9,009,548,701,999",1999,North Haven,86.82,20,23035
"9,015,121,302,000",2000,Canterbury,234.44,11,4692
"9,011,555,002,000",2000,North Stonington,300.54,15,4991
"9,003,084,902,007",2007,Bristol,308.19,186,60353
"9,001,835,002,003",2003,Westport,53.97,14,25942
"9,007,618,002,009",2009,Portland,106.04,10,9430
"9,007,470,802,000",2000,Middlefield,142.76,6,4203
"9,005,607,501,998",1998,Plymouth,60.17,7,11634
"9,003,849,002,003",2003,Wethersfield,143.99,38,26390
"9,003,226,302,003",2003,East Hartford,413.36,207,50078
"9,001,336,202,002",2002,Greenwich,26.18,16,61115
"9,001,089,802,007",2007,Brookfield,18.5,3,16216
"9,015,610,301,998",1998,Pomfret,26.33,1,3798
"9,009,469,402,000",2000,Middlebury,62.01,4,6451
"9,005,540,301,999",1999,North Canaan,238.81,8,3350
"9,015,091,902,007",2007,Brooklyn,164.58,13,7899
"9,013,859,502,003",2003,Willington,50.13,3,5984
"9,009,622,902,009",2009,Prospect,53.56,5,9335
"9,011,621,502,009",2009,Preston,105.89,5,4722
"9,007,618,001,998",1998,Portland,91.62,8,8732
"9,001,639,702,002",2002,Ridgefield,12.58,3,23842
"9,009,538,901,999",1999,North Branford,35.96,5,13906
"9,009,465,202,000",2000,Meriden,161.39,94,58244
"9,001,772,002,002",2002,Trumbull,75.15,26,34598
"9,003,101,002,007",2007,Burlington,11.15,1,8968
"9,001,863,702,003",2003,Wilton,0,0,17762
"9,015,734,202,000",2000,Sterling,225.88,7,3099
"9,011,621,501,998",1998,Preston,255.97,12,4688
"9,015,627,102,009",2009,Putnam,10.5,1,9526
"9,005,534,701,999",1999,Norfolk,120.48,2,1660
"9,005,109,402,007",2007,Canaan,0,0,1188
"9,005,864,402,003",2003,Winchester,110.73,12,10837
"9,003,458,202,000",2000,Marlborough,122.61,7,5709
"9,005,765,702,002",2002,Torrington,420.45,149,35438
"9,015,867,902,003",2003,Windham,29.69,7,23580
"9,001,634,802,009",2009,Redding,11.03,1,9069
"9,009,622,901,998",1998,Prospect,114.85,10,8707
"9,015,121,302,007",2007,Canterbury,20,1,5000
"9,009,548,702,000",2000,North Haven,52.09,12,23035
"9,001,529,801,999",1999,Newtown,47.94,12,25031
"9,003,870,002,003",2003,Windsor,126.41,36,28479
"9,001,639,702,009",2009,Ridgefield,16.3,4,24539
"9,013,449,102,000",2000,Mansfield,120.66,25,20720
"9,003,122,702,007",2007,Canton,20.29,2,9856
"9,003,653,702,009",2009,Rocky Hill,56.31,11,19535
"9,015,627,101,998",1998,Putnam,33.33,3,9002
"9,003,870,702,003",2003,Windsor Locks,123.15,15,12180
"9,003,326,402,002",2002,Granby,66.45,7,10534
"9,015,138,102,007",2007,Chaplin,174.75,4,2289
"9,001,634,801,998",1998,Redding,36.28,3,8270
"9,003,521,401,999",1999,Newington,95.54,28,29306
"9,003,447,002,000",2000,Manchester,321.52,176,54740
"9,009,875,602,003",2003,Wolcott,25.55,4,15655
"9,005,659,302,009",2009,Roxbury,0,0,2249
"9,005,109,402,000",2000,Canaan,185.01,2,1081
"9,009,141,602,007",2007,Cheshire,24.1,7,29046
"9,011,662,102,009",2009,Salem,0,0,4122
"9,001,639,701,998",1998,Ridgefield,4.23,1,23643
"9,005,526,301,999",1999,New Milford,125.36,34,27121
"9,001,681,702,003",2003,Shelton,75.25,29,38538
"9,011,234,002,000",2000,East Lyme,209.74,38,18118
"9,007,143,002,007",2007,Chester,0,0,3919
"9,007,224,902,003",2003,East Hampton,60.45,8,13234
"9,005,664,202,009",2009,Salisbury,79.68,3,3765
"9,003,220,702,000",2000,East Granby,147.52,7,4745
"9,003,653,701,998",1998,Rocky Hill,77.92,14,17966
"9,009,877,002,003",2003,Woodbridge,33.39,3,8985
"9,007,153,502,007",2007,Clinton,113.55,15,13210
"9,013,762,902,002",2002,Tolland,133.07,18,13527
"9,015,674,002,009",2009,Scotland,58.51,1,1709
"9,009,445,602,000",2000,Madison,5.6,1,17858
"9,011,523,501,999",1999,New London,934.91,240,25671
"9,015,881,902,003",2003,Woodstock,26.87,2,7444
"9,005,879,102,003",2003,Woodbury,31.81,3,9431
"9,005,659,301,998",1998,Roxbury,0,0,2136
"9,007,816,802,003",2003,Westbrook,61.67,4,6486
"9,011,159,102,007",2007,Colchester,70.45,11,15613
"9,009,676,102,009",2009,Seymour,91.29,15,16431
"9,001,730,702,000",2000,Stamford,245.13,287,117083
"9,013,010,802,004",2004,Andover,63.63,2,3143
"9,003,101,002,000",2000,Burlington,85.47,7,8190
"9,005,160,502,007",2007,Colebrook,0,0,1481
"9,005,679,602,009",2009,Sharon,35.7,1,2801
"9,009,520,701,999",1999,New Haven,1550.64,1917,123626
"9,005,679,602,003",2003,Sharon,0,0,2912
"9,011,662,101,998",1998,Salem,233.28,9,3858
"9,009,012,202,004",2004,Ansonia,159.3,30,18832
"9,001,634,802,002",2002,Redding,11.84,1,8448
"9,013,164,002,007",2007,Columbia,112.55,6,5331
"9,005,664,201,998",1998,Salisbury,75.43,3,3977
"9,005,513,501,999",1999,New Hartford,32.85,2,6088
"9,001,681,702,009",2009,Shelton,81.19,32,39413
"92,007",2007,Connecticut,297.91,10497,3523537
"9,015,014,302,004",2004,Ashford,23.89,1,4186
"9,001,683,102,009",2009,Sherman,27.73,1,3606
"9,015,674,001,998",1998,Scotland,192.8,3,1556
"9,011,442,102,000",2000,Lyme,99.21,2,2016
"9,003,020,602,004",2004,Avon,29.87,5,16738
"9,005,172,402,007",2007,Cornwall,140.45,2,1424
"9,003,689,402,009",2009,Simsbury,12.78,3,23483
"9,005,322,902,002",2002,Goshen,36.32,1,2753
"9,001,508,601,999",1999,New Fairfield,93.17,13,13953
"9,009,676,101,998",1998,Seymour,194.12,30,15454
"9,013,178,002,007",2007,Coventry,74.04,9,12156
"9,009,676,102,003",2003,Seymour,272.5,43,15780
"9,015,627,102,002",2002,Putnam,120.64,11,9118
"9,007,222,802,000",2000,East Haddam,324.01,27,8333
"9,001,505,801,999",1999,New Canaan,51.56,10,19395
"9,005,027,602,004",2004,Barkhamsted,110.62,4,3616
"9,005,679,601,998",1998,Sharon,0,0,2968
"9,005,433,702,000",2000,Litchfield,156.33,13,8316
"9,007,180,802,007",2007,Cromwell,146.36,20,13665
"9,009,032,502,004",2004,Beacon Falls,17.96,1,5567
"9,003,713,902,009",2009,South Windsor,101.65,26,25579
"9,013,692,202,009",2009,Somers,149.9,17,11341
"9,015,758,702,002",2002,Thompson,166.78,15,8994
"9,003,043,002,004",2004,Berlin,79.47,15,18875
"9,001,185,002,007",2007,Danbury,182.09,144,79080
"9,009,696,402,009",2009,Southbury,40.47,8,19770
"9,009,622,902,002",2002,Prospect,113.03,10,8847
"9,003,504,401,999",1999,New Britain,475.27,340,71538
"9,001,188,502,007",2007,Darien,14.71,3,20395
"9,015,091,902,000",2000,Brooklyn,250.94,18,7173
"9,001,683,101,998",1998,Sherman,0,0,3827
"9,001,047,202,004",2004,Bethel,43.78,8,18274
"9,013,720,902,000",2000,Stafford,274.17,31,11307
"9,011,621,502,002",2002,Preston,170.36,8,4696
"9,007,191,302,007",2007,Deep River,0,0,4623
"9,011,716,702,009",2009,Sprague,134.09,4,2983
"9,007,208,102,000",2000,Durham,196.17,13,6627
"9,009,499,501,999",1999,Naugatuck,212.98,66,30989
"9,001,681,701,998",1998,Shelton,57.74,22,38101
"9,005,049,302,004",2004,Bethlehem,0,0,3496
"9,003,689,401,998",1998,Simsbury,34.43,8,23234
"9,009,195,502,007",2007,Derby,188.25,24,12749
"9,015,674,002,003",2003,Scotland,0,0,1607
"9,013,720,902,009",2009,Stafford,16.65,2,12009
"9,007,618,002,002",2002,Portland,11.25,1,8887
"9,013,692,201,998",1998,Somers,134.4,14,10417
"9,003,705,502,009",2009,Southington,53.82,23,42735
"9,001,089,802,000",2000,Brookfield,31.92,5,15664
"9,007,208,102,007",2007,Durham,83.8,6,7160
"9,003,059,102,004",2004,Bloomfield,270.72,54,19947
"9,001,730,702,009",2009,Stamford,286.68,350,122087
"9,005,494,601,999",1999,Morris,43.46,1,2301
"9,003,312,402,002",2002,Glastonbury,46.32,15,32386
"9,003,713,901,998",1998,South Windsor,49.16,12,24412
"9,003,220,702,007",2007,East Granby,139.25,7,5027
"9,005,540,302,000",2000,North Canaan,388.06,13,3350
"9,015,734,202,009",2009,Sterling,106.47,4,3757
"9,011,432,302,000",2000,Lisbon,98.3,4,4069
"9,005,664,202,003",2003,Salisbury,0,0,3906
"9,005,757,302,002",2002,Thomaston,92.35,7,7580
"9,009,045,802,004",2004,Bethany,57.15,3,5249
"9,007,222,802,007",2007,East Haddam,0,0,8888
"9,011,068,202,004",2004,Bozrah,40.57,1,2465
"9,011,489,001,999",1999,Montville,399.01,74,18546
"9,013,062,602,004",2004,Bolton,39.98,2,5002
"9,009,696,401,998",1998,Southbury,96.95,18,18567
"9,003,084,902,000",2000,Bristol,392.93,236,60062
"9,011,737,702,009",2009,Stonington,59.52,11,18481
"9,007,224,902,007",2007,East Hampton,22.94,3,13077
"9,011,426,002,000",2000,Ledyard,177.03,26,14687
"9,009,195,502,000",2000,Derby,338.96,42,12391
"9,009,828,702,003",2003,West Haven,290.69,155,53321
"9,003,705,501,998",1998,Southington,65.45,26,39728
"9,003,226,302,007",2007,East Hartford,445.33,226,50749
"9,001,080,702,004",2004,Bridgeport,1166.83,1650,141409
"9,003,745,402,009",2009,Suffield,51.56,8,15517
"9,001,741,902,009",2009,Stratford,314.19,161,51243
"9,011,716,701,998",1998,Sprague,201.95,6,2971
"9,001,486,201,999",1999,Monroe,20.78,4,19247
"9,005,082,102,004",2004,Bridgewater,0,0,1785
"9,015,610,302,002",2002,Pomfret,51.44,2,3888
"9,009,229,102,007",2007,East Haven,148.6,43,28937
"9,011,423,902,000",2000,Lebanon,86.87,6,6907
"9,005,757,302,009",2009,Thomaston,25.48,2,7849
"9,007,407,102,000",2000,Killingworth,16.62,1,6018
"9,013,720,901,998",1998,Stafford,265.32,30,11307
"9,003,745,402,002",2002,Suffield,21.45,3,13989
"9,009,073,102,004",2004,Branford,168.9,48,28420
"9,011,234,002,007",2007,East Lyme,95.51,18,18847
"9,003,084,902,004",2004,Bristol,252.37,152,60228
"9,015,758,702,009",2009,Thompson,42.55,4,9400
"9,015,405,002,000",2000,Killingly,631.37,104,16472
"9,009,475,351,999",1999,Milford,156.77,82,52305
"9,001,730,701,998",1998,Stamford,372.39,436,117083
"9,003,248,002,007",2007,East Windsor,241.66,26,10759
"9,001,089,802,004",2004,Brookfield,118.91,19,15979
"9,013,762,902,009",2009,Tolland,20.19,3,14861
"9,001,741,902,002",2002,Stratford,226.83,114,50258
"9,015,091,902,004",2004,Brooklyn,39.54,3,7588
"9,015,218,602,007",2007,Eastford,116.96,2,1710
"9,009,045,801,999",1999,Bethany,138.89,7,5040
"9,005,402,902,000",2000,Kent,34.99,1,2858
"9,011,716,702,000",2000,Sprague,67.32,2,2971
"9,005,765,702,009",2009,Torrington,187.51,68,36265
"9,011,555,001,999",1999,North Stonington,220.4,11,4991
"9,001,238,902,007",2007,Easton,26.94,2,7425
"9,015,734,201,998",1998,Sterling,161.34,5,3099
"9,011,737,701,998",1998,Stonington,55.85,10,17906
"9,007,473,601,999",1999,Middletown,113.51,49,43167
"9,011,299,102,002",2002,Franklin,161.99,3,1852
"9,013,379,102,000",2000,Hebron,69.69,6,8610
"9,003,101,002,004",2004,Burlington,11.58,1,8634
"9,011,737,702,002",2002,Stonington,99.81,18,18034
"9,005,109,402,004",2004,Canaan,0,0,1142
"9,001,772,002,009",2009,Trumbull,64.17,23,35841
"9,007,618,002,003",2003,Portland,122.7,11,8965
"9,011,299,102,000",2000,Franklin,217.98,4,1835
"9,011,662,102,003",2003,Salem,0,0,3946
"9,013,253,602,003",2003,Ellington,43.72,6,13725
"9,007,573,202,001",2001,Old Saybrook,38.63,4,10355
"9,005,372,802,002",2002,Harwinton,74.7,4,5355
"9,005,607,502,002",2002,Plymouth,110.58,13,11756
"9,013,692,202,003",2003,Somers,93.24,10,10725
"9,007,208,102,002",2002,Durham,73.76,5,6779
"9,003,371,402,002",2002,Hartland,147.64,3,2032
"9,007,222,802,003",2003,East Haddam,23.33,2,8571
"9,003,276,002,000",2000,Farmington,88.83,21,23641
"9,011,570,402,001",2001,Old Lyme,94.26,7,7426
"9,003,220,702,003",2003,East Granby,41.1,2,4866
"9,009,877,001,999",1999,Woodbridge,178.11,16,8983
"9,015,610,302,003",2003,Pomfret,25.43,1,3933
"9,005,607,502,003",2003,Plymouth,84.62,10,11817
"9,015,734,202,002",2002,Sterling,154.08,5,3245
"9,003,370,702,002",2002,Hartford,1295.24,1583,122217
"9,009,195,502,002",2002,Derby,112.06,14,12493
"9,007,191,302,000",2000,Deep River,260.3,12,4610
"9,011,489,002,005",2005,Montville,,,19059
"9,011,562,702,001",2001,Norwich,391.19,143,36555
"9,001,266,202,000",2000,Fairfield,40.11,23,57340
"9,015,627,102,000",2000,Putnam,155.52,14,9002
"9,001,772,002,003",2003,Trumbull,69.01,24,34776
"9,003,601,202,003",2003,Plainville,108.92,19,17444
"9,009,499,502,005",2005,Naugatuck,,,31426
"9,007,262,702,000",2000,Essex,92.24,6,6505
"9,003,458,202,002",2002,Marlborough,51.3,3,5848
"9,005,494,602,005",2005,Morris,,,2345
